gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
1110002J07Rik,-0.035142548806932024,0.7782562726917621,-0.035142548806932024,0.10887737024783642,False,True,False,True,False,False,False,True,insig.neg
1110032F04Rik,-0.0175596225530391,0.5565089836433008,-0.0175596225530391,0.25452782052024914,False,True,False,True,False,False,False,True,insig.neg
1500002F19Rik,0.0016471415154828035,0.7703427325088124,0.0016471415154828035,0.11331601025508105,False,True,True,False,False,False,True,False,insig.pos
1500026H17Rik,0.033216309297282844,0.5729887774699887,0.033216309297282844,0.24185388401967184,False,True,True,False,False,False,True,False,insig.pos
1600010M07Rik,-0.026753560709130285,0.9627717851480235,-0.026753560709130285,0.016476645582373012,False,True,False,True,False,False,False,True,insig.neg
1700001C19Rik,-0.01093730483903155,0.8607257810201174,-0.01093730483903155,0.06513518856787012,False,True,False,True,False,False,False,True,insig.neg
1700001O22Rik,0.039698293544884036,0.5398876692360528,0.039698293544884036,0.26769659148392383,False,True,True,False,False,False,True,False,insig.pos
1700011I03Rik,-0.01613048467268339,0.49118169108833265,-0.01613048467268339,0.30875782999290907,False,True,False,True,False,False,False,True,insig.neg
1700016F12Rik,-0.06301381705560292,0.8269860959798538,-0.06301381705560292,0.08250179212821179,False,True,False,True,False,False,False,True,insig.neg
1700016K19Rik,0.01994175234500624,0.8987810485972819,0.01994175234500624,0.04634609354752028,False,True,True,False,False,False,True,False,insig.pos
1700025K24Rik,-0.0005821592025954002,0.7113997323664887,-0.0005821592025954002,0.1478863025348027,False,True,False,True,False,False,False,True,insig.neg
1700029I15Rik,-0.07717573155565285,0.35560653520337704,-0.07717573155565285,0.4490302663275694,False,True,False,True,False,False,False,True,insig.neg
1700030C14Rik,0.03237561338269855,0.9053982324948673,0.03237561338269855,0.043160357663248466,False,True,True,False,False,False,True,False,insig.pos
1700041G16Rik,0.030577915090049146,0.9921349807685559,0.030577915090049146,0.00342923770971114,False,True,True,False,False,False,True,False,insig.pos
1700047M11Rik,0.019012022221285965,0.8523338216463884,0.019012022221285965,0.06939027788033775,False,True,True,False,False,False,True,False,insig.pos
1700051A21Rik,0.01819136519772998,0.1918671389996204,0.01819136519772998,0.7169994003202289,False,True,True,False,False,False,True,False,insig.pos
1700056E22Rik,0.025029072956810425,0.5412296567112572,0.025029072956810425,0.26661841423041843,False,True,True,False,False,False,True,False,insig.pos
1700061G19Rik,-0.0009347797642809096,0.4463299171868844,-0.0009347797642809096,0.35034400172385166,False,True,False,True,False,False,False,True,insig.neg
1700061H18Rik,0.05619296901795516,0.4750112852069188,0.05619296901795516,0.32329607238592944,False,True,True,False,False,False,True,False,insig.pos
1700099I09Rik,0.005435145451417963,0.44193794282554844,0.005435145451417963,0.3546387102449845,False,True,True,False,False,False,True,False,insig.pos
1700102P08Rik,0.008780851327958888,0.8341456181970768,0.008780851327958888,0.0787581272290783,False,True,True,False,False,False,True,False,insig.pos
1700112J16Rik,-0.006076592259205541,0.7826930531138225,-0.006076592259205541,0.1064085207958343,False,True,False,True,False,False,False,True,insig.neg
1810019N24Rik,-0.021362213317543243,0.4520282022005181,-0.021362213317543243,0.34483446855593164,False,True,False,True,False,False,False,True,insig.neg
1810041L15Rik,-0.0006828441293937129,0.9652550318518822,-0.0006828441293937129,0.01535792573104591,False,True,False,True,False,False,False,True,insig.neg
2010005H15Rik,0.00660935692565379,0.17733478493275412,0.00660935692565379,0.7512060674300381,False,True,True,False,False,False,True,False,insig.pos
2010007H06Rik,-0.03564947540418978,0.5269451995585261,-0.03564947540418978,0.2782345475328587,False,True,False,True,False,False,False,True,insig.neg
2010300C02Rik,-0.11002026775446656,0.36363264114780297,-0.11002026775446656,0.4393371396576806,False,True,False,True,False,False,False,True,insig.neg
2200002D01Rik,-0.07632580376842626,0.45546791100921,-0.07632580376842626,0.34154221487657255,False,True,False,True,False,False,False,True,insig.neg
2210008F06Rik,0.017654842204211145,0.9965427868079952,0.017654842204211145,0.001504050023511734,False,True,True,False,False,False,True,False,insig.pos
2310007B03Rik,-0.027211346031850138,0.7139134545973361,-0.027211346031850138,0.14635443313831398,False,True,False,True,False,False,False,True,insig.neg
2310016D03Rik,-0.05093140927384608,0.7620217591069693,-0.05093140927384608,0.1180326274462671,False,True,False,True,False,False,False,True,insig.neg
2310016D23Rik,-0.021971483854130447,0.41324592247480346,-0.021971483854130447,0.3837914229481161,False,True,False,True,False,False,False,True,insig.neg
2310031A07Rik,0.01543905808003398,0.6834201994398469,0.01543905808003398,0.1653121891667264,False,True,True,False,False,False,True,False,insig.pos
2310034C09Rik,-0.018346220430577986,0.8914250592631319,-0.018346220430577986,0.049915161424705166,False,True,False,True,False,False,False,True,insig.neg
2410006H16Rik,-0.036864047024932976,0.6445830572678446,-0.036864047024932976,0.19072111401416855,False,True,False,True,False,False,False,True,insig.neg
2410017I17Rik,-0.02604952369152735,0.5411498373417681,-0.02604952369152735,0.26668246775687826,False,True,False,True,False,False,False,True,insig.neg
2610028E06Rik,0.05382478059910488,0.6590302430139203,0.05382478059910488,0.1810946550984215,False,True,True,False,False,False,True,False,insig.pos
2610035D17Rik,-0.013674361973513465,0.9477551877734036,-0.013674361973513465,0.023303829676314062,False,True,False,True,False,False,False,True,insig.neg
2610037D02Rik,-0.043631468522446794,0.4022032101859621,-0.043631468522446794,0.3955544674029133,False,True,False,True,False,False,False,True,insig.neg
2610301B20Rik,-0.010038243521895586,0.2946282507743258,-0.010038243521895586,0.530725612662569,False,True,False,True,False,False,False,True,insig.neg
2610307P16Rik,0.003899006841353838,0.685334441391696,0.003899006841353838,0.1640974422224309,False,True,True,False,False,False,True,False,insig.pos
2610528A11Rik,0.06513591959886902,0.13156910897320637,0.06513591959886902,0.8808460664766028,False,True,True,False,False,False,True,False,insig.pos
2700068H02Rik,-0.010153446661247697,0.8865925760173013,-0.010153446661247697,0.052275909635171584,False,True,False,True,False,False,False,True,insig.neg
2810029C07Rik,0.039597431578814984,0.36985581189063393,0.039597431578814984,0.4319675524326692,False,True,True,False,False,False,True,False,insig.pos
2810403D21Rik,-0.09694146918025998,0.35974856078063466,-0.09694146918025998,0.4440009348375807,False,True,False,True,False,False,False,True,insig.neg
2810408A11Rik,0.06875232192561562,0.3281703621127844,0.06875232192561562,0.4839006437341365,False,True,True,False,False,False,True,False,insig.pos
2900089D17Rik,0.01687936081485775,0.7077771089302424,0.01687936081485775,0.1501034875109415,False,True,True,False,False,False,True,False,insig.pos
3110079O15Rik,-0.021708967579851562,0.843143091980575,-0.021708967579851562,0.07409871388776519,False,True,False,True,False,False,False,True,insig.neg
3830432H09Rik,-0.00847735973461896,0.8983080332036494,-0.00847735973461896,0.04657471658255435,False,True,False,True,False,False,False,True,insig.neg
