,0,1,2,3,4
Adgre5,-0.2577268619705827,-0.517710295614384,-0.3938933592131282,-0.5602944481626917,-0.3999269437743953
Adgrg1,-0.3085642102764055,-0.4661379830363341,-0.2692249514524958,-0.4476557695503478,-0.5543755845967111
Ahnak,0.5607000253959518,0.1841210606647147,0.2566808202267262,0.8444501972521724,0.4544875038921977
Akr1c12,-0.1942136093160673,-0.3381401009258455,-0.3840184079113909,-0.382980770840959,-0.3963203934791877
Akr1c13,-0.5573900536769186,-0.6090773203345573,-0.7851457397907148,-0.8361687412741692,-0.9184472641627138
Akr1c18,-0.4696098007170407,-0.4888607742096075,-0.4701458297989039,-0.5853547008474467,-0.3738853894774812
Aldh2,-0.3244580203565222,-0.7526849605854695,-0.2112922401410322,-0.3236289532970736,-0.5606413013313134
Alox5,-0.733446514650258,-0.9796937797681634,-0.821505606108922,-1.1518677327939824,-1.1789547459770555
Ap3s1,-0.2552869581732492,-0.2060732379838118,-0.3593346170733911,-0.2973794486108664,-0.3157542350597622
Aqp9,-0.2546919053032738,-0.4215218170406737,-0.2490646776435638,-0.5038196447143468,-0.4803508210158644
Arhgap6,-0.15558814044239,-0.3934041586107327,-0.2429225289697776,-0.2679870650396031,-0.3292416844602475
Arrb2,-0.191894435214466,-0.3803547646628942,-0.249333423009104,-0.3589461509922187,-0.3157369384572187
Atp1b3,0.5245570876236562,0.2845094383578882,0.1868540699547176,0.6337339406587171,0.5297466043267993
Atp6v0c,0.2957921807027756,-0.2065155202347886,0.335730002326562,0.5534900396958709,0.1593237411600335
BC100530,-0.8777738013462694,-1.539852660097427,0.2706065504146813,-1.4309566229344657,-0.9256782284016049
Casp6,0.5323468950531923,0.2511012150988075,0.3874589170546658,0.6241395373131,0.5109275026118499
Ccr2,0.7836129383342177,0.5222041914985904,0.3674564695688173,1.02302220335367,0.8295189100291689
Cd200r3,-0.4419575106415679,-0.5689024579412326,-0.4654739212445091,-0.962696548437044,-0.6254268409354741
Cd200r4,-0.2845788822987774,-0.4438973740694707,-0.2580173510731544,-0.4795082644878302,-0.5064296999261004
Cd53,-0.4333273024278772,-0.542199425432187,-0.4260978562202761,-0.7418441507588891,-0.8141741579177253
Cd55,-0.3799668157822202,-0.5772730043724682,-0.4440053174180539,-0.8370021764764172,-0.5756813004778821
Cd81,-0.2382992187068842,-0.6151038005922906,-0.1875085123732849,-0.3601012325541247,-0.386127260160267
Cdh1,-0.2618253404477694,-0.4850389068117167,-0.2526220023307674,-0.2322861507149215,-0.4169452545990196
Ceacam1,-0.2445068098694355,-0.6766086007832709,-0.327084750790717,-0.3507841824574275,-0.3824600851948169
Cebpa,-0.306427612875048,-0.3174785787598017,-0.4090405527689899,-0.4052695885876854,-0.493407093028514
Cebpb,0.4916579008140573,0.1979416157266426,0.3277028655372176,0.6854808089369133,0.4702019213131
Cebpe,-0.4459012536379136,-0.5929765146497155,-0.4908676242537545,-0.3197889463966804,-0.4708220509884367
Chil3,-0.1906722940075794,-0.527974492467626,-0.1714547588615135,-0.4504273937422304,-0.3999378272921522
Clec4a1,0.4802860018519642,0.1868399793180961,0.2259971683191862,0.888169337072567,0.260378632004621
Clec4d,0.3181359520965852,0.1610257419357197,0.652982998590913,0.6094567201026836,0.2956591593370075
Clec4e,0.3688546558251049,0.1965776108047359,0.3690190613255861,0.4370293257543272,0.2778804980828253
Clec4n,0.491366318648221,0.1910790884970498,0.2487078791541557,0.8985113785629718,0.249585145631445
Cnn2,-0.2121529457637989,-0.5311751100095425,-0.216381176710159,-0.3642585639172019,-0.2859670501397084
Cobl,-0.18214735012301,-0.4177036534174059,-0.2254639602683958,-0.3153227396386206,-0.1997125667889749
Cpa3,-0.3707853790248353,-0.6525084617250905,-0.3711377575483669,-0.9687079904319256,-0.7144065733378641
Creb3l2,-0.1817827084476431,-0.3483948409121453,-0.2548926798276834,-0.2796066156465241,-0.2209960855423049
Crip1,-0.2934002706752051,-0.5044117914835402,-0.4038816381649083,-0.3368434248536988,-0.3936412188798877
Csf1r,0.6514488546756868,0.3420735851586525,0.3110958782189224,0.8788323484796227,0.5656570393327669
Csf2rb,-0.2461074612833921,-0.5215645542802566,-0.1983070058957305,-0.5788018211311314,-0.4155870194824994
Csf2rb2,-0.4656753829283778,-0.6864035919995353,-0.3674408106076018,-0.9934669762610036,-0.7109117314849807
Cst3,0.4667652380959138,0.1402728360538324,0.3245587691829006,0.6482853194604434,0.4455494089956825
Ctla2a,-0.423877534017523,-0.7572000169723441,-0.1738672323390597,-0.9248346026185188,-0.7501934846809942
Ctla2b,-0.2137104031044573,-0.4885108768601542,-0.2061351343971383,-0.3238466567231353,-0.4829818492090114
Ctsc,0.9745407507637628,0.6719551633089214,0.500943972945971,1.2408410436731176,1.0123028865557344
Ctsg,-0.6288481872399369,-0.6251745605807938,-0.1889520073357428,-0.4090605871393326,-0.5075296755607991
Cxcr2,-0.2818487280755432,-0.445103806471468,0.1864873760426492,-0.4737290237663356,-0.4341309253783582
Cyfip2,-0.2614648943175655,-0.363257217595122,-0.2737986853079946,-0.3123418728362162,-0.4263268672897521
Cyp11a1,-0.6480326362027125,-0.8725519374949495,-0.5871343438797308,-1.2531753653060802,-0.9546066815464576
Dab2,0.548724674567951,0.2460542489582976,0.3119894585121369,0.913819405355861,0.4340241196775829
Dlk1,-0.3831030251864485,-0.2993767997666108,-0.1750211587341788,0.2221410308916866,-0.3956993687535598
Dstn,-0.4606864497478106,-0.8041236609167373,-0.3126760170560979,-0.3985112743028718,-0.4626345204968762
Dusp6,-0.2814137248630156,-0.4567632167943903,-0.1682431322685197,-0.5163566256505578,-0.4699413511141747
Elane,-0.969148583147552,-1.4098935586347507,-0.4527597823106759,-0.825796659118503,-1.0535724502103143
Emb,0.6047682077651693,0.3705057493500562,0.2794043943228809,0.8715331643620561,0.6244647382361783
Ero1l,-0.2046207172981966,-0.3558738865016978,-0.1892449207732892,-0.4819851671871024,-0.273485030024628
Ets1,-0.2929386193211277,-0.4370142066054214,-0.4334013897896644,-0.6339528887482098,-0.4562463671576385
F2r,-0.5947364760756336,-0.8787238939709372,-0.4486953418047661,-1.045579372070708,-0.8457188457355229
F630028O10Rik,-0.1874731342940183,-0.4957114806940558,-0.3033154442555336,-0.2128227285756668,-0.3401207759870057
Fam107b,-0.4870122975222856,-0.3969839200688357,-0.695062442647015,-0.598099997547705,-0.7272469497048277
Fcer1a,-0.1725763642831566,-0.4947973478518458,-0.5692897650834313,-0.3127759378616206,-0.3131747086002279
Fcnb,-0.3713094974848531,-0.6088101320653078,-0.5190177407680494,-0.5558049333171681,-0.4539000307873492
Fth1,0.4765084244715381,0.21737603067337,0.7352456787804742,0.9178623518647422,0.4996917569125715
Ftl1,0.2121617619593562,-0.2255158245172572,0.4681095205588494,0.2823796148658189,0.1681339062047359
Furin,-0.3389425356823841,-0.526896085858933,-0.2617683324005271,-0.5656820712455187,-0.5306129584877559
G0s2,-0.2061214449469773,-0.5297051544538363,-0.146609378522707,-0.27011531871073,-0.3913655210134724
Gata2,-0.8429381355281487,-0.9027772603568808,-0.8734154365446622,-1.3417516601554933,-1.148513019313058
Gem,-0.1971864530489635,-0.3277891947498027,-0.2833232302522663,-0.475904446319156,-0.3787794753033942
Gfi1,-0.7862123350779427,-0.8145782138096468,-0.3434311975002451,-0.607613690182144,-0.8023144222530618
Gm5483,-0.681603448783884,-1.6602398657209618,0.3554736935122294,-1.3620947524962257,-0.9519638076586848
Golim4,-0.2692014449643609,-0.3920196134465507,-0.3442836258777456,-0.28120674020945,-0.3016385223641941
Gsr,-0.5159200790588125,-0.6911280706024999,-0.2722328519203953,-0.4979756926387828,-0.6049289431866524
Gzmb,-0.4514671325343043,-0.6883209224212953,-0.9712238563637936,-0.8201626065735361,-0.7120747058782272
H1f0,-0.2240964156846565,-0.3488793559987454,-0.2931688017982041,-0.1778877091056256,-0.4033281914914505
Hdc,-0.4471494117869795,-0.5160054077822139,-0.2325105304571351,-0.8709347252535926,-0.481030754382931
Hdgf,-0.1695566147699982,-0.2671907337280295,-0.2565078190439211,-0.3864572693832407,-0.2576309566057319
Hgf,-0.3905074543145341,-0.4700763343676014,-0.2708021710677213,-0.7367927922715176,-0.5072564355151087
Hmox1,0.4564606825430763,0.1345558897262414,0.3234961119489563,0.5430370544932575,0.3533223077128266
Hsd11b1,-0.2498828760715977,-0.5814917600217617,-0.245421852055449,-0.3798699795843638,-0.4385901794638712
Ifi203,0.5720707598619976,0.3938343222414725,0.3447279024674322,0.6857638804588913,0.5574057288408477
Ifi27l2a,0.3698012363283179,0.1565526431414025,0.2292639339039923,0.6138342636487413,0.3096323485477805
Igf1r,-0.3958853419898226,-0.5256786504266975,-0.5980930201311107,-0.5519006627491658,-0.6617012285730653
Igfbp4,-0.4077814558969894,-0.2466867634773799,-0.68775248745537,-0.2197729276070941,-0.7537269286825067
Igfbp7,-0.6047059561607744,-0.572644745515405,-0.7711498196382105,-0.9300906047460206,-0.8399909196257163
Ikzf2,-0.3637417085002503,-0.5699745506946485,-0.7501736248333215,-0.7420647840932978,-0.8537382589866717
Il1rl1,-0.5660212647665606,-0.7867557736428734,-0.793884106387317,-0.9629822241111732,-0.6763793196105248
Il6,-0.2966188339626493,-0.3949178663106555,-0.3566306351578071,-0.6080271359226754,-0.385802875568314
Il6ra,0.5263967905102909,0.1510100276631751,0.3377061208040471,0.597213648123511,0.4744790079597126
Il6st,0.5680014932180382,0.3083657578595539,0.2937845965525615,0.6699508207099119,0.5367659313344219
Inpp4b,-0.3009192086974731,-0.4016603883676157,-0.4864709350218219,-0.6218262571470214,-0.5065566192391198
Itga2b,-0.234120674645213,-0.761052787842488,-0.1850481079187243,-0.8912303206543374,-0.5879671877468349
Itga6,-0.2481501633559033,-0.3527219353962237,-0.2318526632114757,-0.2837604208295935,-0.3306356213782458
Jun,0.46065502081403,0.169514217276268,0.3896830900022004,0.5904188773308678,0.3919418505177804
Klf4,0.5629909932252399,0.1646925948978744,0.2074929436956409,0.8133690739271776,0.508791362083292
Klhl6,-0.2636920512201998,-0.3545620011129009,-0.2989176957115349,-0.4719127355445179,-0.4311916492477411
Lat,-0.2413844233546574,-0.5136854999684682,-0.1602061326329248,-0.4896854844861932,-0.3660099459384063
Lgals9,-0.201711422741691,-0.5653563763920192,-0.2633465101823012,-0.4423874884857374,-0.4813931802075203
Lif,-0.3283320370459116,-0.4242577918241789,-0.1937726106352325,-0.6298670590662045,-0.4797426674197232
Lipg,-0.6123146511884214,-0.8457845162309626,-0.3604207061913622,-0.5964001494824603,-0.7061272157976594
Lpl,0.6142324760906055,0.2571539247078523,0.2208273205192352,0.8104802802744444,0.5391412718962008
Ly6a,0.5736542456080657,0.2784526264092616,0.4054397799196045,1.0110059473179338,0.4913719165668296
Mboat1,-0.3643641602410307,-0.4073371822780992,-0.4386642719402836,-0.586268021940537,-0.498491833315027
Mcpt8,-0.6830705664047944,-0.5851781062159171,-0.6679687708697749,-1.039759327762062,-0.9582256404766132
Mgst2,-0.2768804418199713,-0.5699156996605326,-0.3795452236795346,-0.3238733064915229,-0.4320359448434619
Mmp8,0.6115208778343059,0.3022237774365918,0.6800129372955871,0.9920038584445036,0.5683390712980694
Mndal,0.3798555969160596,0.186099266675778,0.1520559622195017,0.4927363302880175,0.3153426119007246
Mpo,-0.8964404037691555,-1.1174835864181278,-0.1785523064287802,-0.6431464426675474,-0.8858675838087271
Ms4a2,-0.5780295082718021,-0.8071743390574989,-0.9504309779925262,-1.0813896900835154,-0.9190383097923792
Ms4a4c,0.519990990486322,0.3469077346123153,0.2837170557981719,0.8494361228380358,0.4489142396139091
Ms4a6b,0.4754554381250361,0.3436840384386522,0.1856970622667531,0.7685251798865798,0.4275855427150677
Ms4a6c,0.7816851092339788,0.563912081673961,0.4157899286897269,1.1487142894485662,0.842162213422896
Ms4a6d,0.7049614440439154,0.3611231713086827,0.3414215377650541,1.0916805194575496,0.6641105658530642
Muc13,-0.4120789940408287,-0.3769839264032854,-0.2789617335157293,-0.1467801560983062,-0.5228369786764064
Muc20,-0.2299112587936905,-0.3267862129789465,-0.1882071760859085,-0.2648091869202075,-0.2931086411121941
Myl12b,-0.339998857836819,-0.5245287769899135,-0.2472246305895725,-0.2083093341605036,-0.4589506191169448
Ndst2,-0.1609868245534846,-0.3902791380389981,-0.4079631528494719,-0.3737405853614987,-0.4641651935864612
Ngp,-0.148293088965796,-0.5627250559603098,-0.4664290919088502,-0.2789843740108065,-0.2767053890565804
Nrgn,-0.2589361539796938,-0.5228459557148001,-0.2028307037151207,-0.4592130237458517,-0.4264481417613111
Nt5c3,-0.594172498292525,-0.6402246218834421,-0.8309335847948599,-0.7665480835448193,-0.8235578213248431
Olfm1,0.8124267019274075,0.5711176887868288,0.387161875061332,1.1970104655474167,0.86163252854251
Osm,-0.4590218359529586,-0.535490664681564,-0.5233432425410733,-0.9549981924363296,-0.7134130996027725
P2ry1,-0.3255968546611168,-0.450170207094307,-0.234130659565705,-0.5549556182934043,-0.4153105979028534
Padi2,-0.2194881337157817,-0.3570375951520167,-0.3188096559483232,-0.5176514486404836,-0.4189608614616625
Perp,-0.3431163635570368,-0.4498146697250023,-0.4048465706018634,-0.4309754272149309,-0.4716031839528457
Plxdc2,-0.2075317174201539,-0.3639227426759219,-0.2156504179355824,-0.371185630175723,-0.2800606815638011
Prdx5,-0.3836374008474886,-0.7198655671359362,-0.3582824712828723,-0.3233548074758389,-0.5954415104122859
Prkca,-0.2016730009940469,-0.5352125810690895,-0.1971827042447146,-0.4449329495973463,-0.4792210622825826
Prkcb,-0.3130487715332696,-0.6093966176737234,-0.5136176715859551,-0.430369016461163,-0.3651479297064843
Prss34,-0.695006612790648,-0.6823962528154286,-0.7451945932048314,-0.855713888825742,-0.7807932675586208
Prtn3,-0.799790490809233,-1.038967364480595,-0.1625143562856525,-0.5687843296449343,-0.8934242107391517
Ptger3,-0.2030365549767368,-0.4300772696866239,-0.2146916957610222,-0.4491625777088482,-0.2961781096443104
Ptprcap,-0.2327670494974489,-0.391981605874064,-0.3065990170998752,-0.4564372800080846,-0.5946801443320566
Ptprg,-0.2940859466929639,-0.3912285250920621,-0.3754593058587557,-0.6480962595522365,-0.4276657978090272
Pyhin1,0.4858268746730818,0.3159113911224344,0.2973170880002133,0.710141174162442,0.4778293988110051
Rab27b,-0.3163451764750818,-0.6056917194615807,-0.4504846063146502,-0.5115162065911072,-0.4951602638458042
Rab38,-0.4039581026587216,-0.5355864079443295,-0.2835015600221173,-0.575968406299876,-0.5520426505376193
Rassf4,0.6372321785175707,0.3535787025646854,0.3329037371603265,0.7891415444596439,0.657914461881477
Rbms1,0.675331898341119,0.4412808392972313,0.3279057329558086,0.8120553893580214,0.5973584973314473
Rbpms2,-0.1803463251632308,-0.3988812025069879,-0.1399624965877065,-0.3113339436603739,-0.3024010209340717
Rgs1,-0.2000541167486741,-0.4158606860199024,-0.331172079731408,-0.4561740887368418,-0.4198258475135118
Rgs18,-0.3167937392411868,-0.6252866989068878,-0.3651423391171494,-0.4838339343452724,-0.4308928732091255
Rhoj,-0.3674576481493471,-0.5382452353785878,-0.5168133061505732,-0.5548992389476137,-0.6623214282242891
Rnf128,-0.3955525174334552,-0.559457982231575,-0.2176869568004335,-0.7413426992865562,-0.643462482928712
Rnf149,0.5544893190875804,0.2731876964521406,0.3490609875714202,0.8111893092783472,0.4678754171184949
Rsu1,-0.3294350932658284,-0.7194619893969996,-0.4195108745589572,-0.5536693670577737,-0.6404002452439223
S100a4,0.6119632557073706,0.2550971071173733,0.3082406174595157,0.9581536208285896,0.5279408932319832
S100a8,-0.2982648266122268,-0.7178725197055664,-0.1795266130036648,-0.3601036644583693,-0.4170658705591795
S100a9,-0.2288305139735394,-0.7196506690703208,-0.2768245807748717,-0.3774904103075249,-0.4130207102195279
Scin,-0.3698691212765127,-0.7505527144260455,-0.7106689563081916,-0.5748717181644969,-0.7221652963028895
