gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
1110002J07Rik,0.13057803279894434,0.01944339307028053,0.13057803279894434,1.7112279439820859,True,False,True,False,True,False,False,False,sig.pos
1110032F04Rik,0.0917152529050451,0.19773921938541106,0.0917152529050451,0.7039071846396611,False,True,True,False,False,False,True,False,insig.pos
1500002F19Rik,0.11846474588839134,0.006684363462084651,0.11846474588839134,2.1749399433857475,True,False,True,False,True,False,False,False,sig.pos
1500026H17Rik,0.11497457164531288,0.05678681448135307,0.11497457164531288,1.2457524928585868,False,True,True,False,False,False,True,False,insig.pos
1600010M07Rik,0.08275793689233062,0.0495934709709078,0.08275793689233062,1.3045754950410187,True,False,True,False,True,False,False,False,sig.pos
1700001C19Rik,0.12799769832403074,0.030908133406460155,0.12799769832403074,1.5099272219102347,True,False,True,False,True,False,False,False,sig.pos
1700001O22Rik,0.12145373495055761,0.015586675861389631,0.12145373495055761,1.8072464960354886,True,False,True,False,True,False,False,False,sig.pos
1700011I03Rik,0.12925738108434287,0.0038766224411052315,0.12925738108434287,2.411546494512327,True,False,True,False,True,False,False,False,sig.pos
1700016F12Rik,0.04651341380807207,0.2723013506102702,0.04651341380807207,0.5649502045611265,False,True,True,False,False,False,True,False,insig.pos
1700016K19Rik,0.1017612990101333,0.14588642911059135,0.1017612990101333,0.8359851058893165,False,True,True,False,False,False,True,False,insig.pos
1700025K24Rik,0.09241572708635332,0.07356771120011629,0.09241572708635332,1.1333127552885072,False,True,True,False,False,False,True,False,insig.pos
1700029I15Rik,0.13501428903496668,0.026041700700173455,0.13501428903496668,1.5843306567942366,True,False,True,False,True,False,False,False,sig.pos
1700030C14Rik,0.11580101865015935,0.022543249175727715,0.11580101865015935,1.6469834885830357,True,False,True,False,True,False,False,False,sig.pos
1700041G16Rik,0.1445343414527182,0.0004807138542166841,0.1445343414527182,3.318113361284805,True,False,True,False,True,False,False,False,sig.pos
1700047M11Rik,0.13748070881142233,0.005694547149070021,0.13748070881142233,2.2445408068754493,True,False,True,False,True,False,False,False,sig.pos
1700051A21Rik,0.1244103868293139,0.0037882684312551,0.1244103868293139,2.421559255095776,True,False,True,False,True,False,False,False,sig.pos
1700056E22Rik,0.12145975639789719,0.034917500496319816,0.12145975639789719,1.4569568520084883,True,False,True,False,True,False,False,False,sig.pos
1700061G19Rik,0.1559483243578634,0.0004979390363122935,0.1559483243578634,3.302823825541223,True,False,True,False,True,False,False,False,sig.pos
1700061H18Rik,0.1244816995765179,0.04599289226248766,0.1244816995765179,1.3373092789638388,True,False,True,False,True,False,False,False,sig.pos
1700099I09Rik,0.11088680348119875,0.04343111306628617,0.11088680348119875,1.3621990402589619,True,False,True,False,True,False,False,False,sig.pos
