,Baso,Ccr7_DC,Eos,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated,n
1110002J07Rik,0.3711422428392122,7.037173627430806,10.49039906693604,12.632113253378478,0.6275275202865396,0.6545255472467236,0.2473314628360939,0.24809605866725992,0.19221781010525069,10
1110032F04Rik,0.37871170937268606,7.037173627430806,7.037173627430806,14.074347254861614,0.461435078618719,0.5992873600480084,0.27384305207332504,0.22978901058060874,0.1695237235393335,10
1500002F19Rik,0.3643241942887612,7.037173627430806,12.63211325337848,10.749460275416212,0.8348250433910047,0.6463466544156432,0.31721353373129385,0.23377465672703296,0.30680179715950123,10
1500026H17Rik,0.3537543447653619,7.037173627430806,7.353401347825628,14.074347254861614,0.5480678222438429,0.5912833688282856,0.2679662253258019,0.3317883075751984,0.13446790303348016,10
1600010M07Rik,0.439225300299232,7.037173627430806,10.49039906693604,10.749460275416212,0.3963057211853321,0.7047010763954827,0.28549295335937674,0.2912466066696061,0.26422914948801995,10
1700001C19Rik,0.4015923639532266,7.037173627430806,14.074347254861614,9.382898169907742,0.5325978731099117,0.6669728365895196,0.23561803222846495,0.252231981432867,0.20292251785336093,10
1700001O22Rik,0.3769835312365059,7.037173627430806,10.49039906693604,14.074347254861614,0.6902481391694582,0.6574292499924406,0.3059133277633666,0.3153131827969011,0.19423255446532664,10
1700011I03Rik,0.4175636091458361,7.037173627430806,10.49039906693604,14.074347254861614,0.45758477332821945,0.7903292711997962,0.2826158977541434,0.26484497161696446,0.17651670953271947,10
1700016F12Rik,0.31290436903681296,7.037173627430806,10.49039906693604,10.749460275416212,0.506764065340721,0.6336955562270759,0.23027013797069915,0.3251998477934234,0.22771148036545638,10
1700016K19Rik,0.3701968989292787,7.037173627430806,10.49039906693604,10.749460275416212,0.4668877987452439,0.6734828101284182,0.26526824445849173,0.2801356265952882,0.2549240261840796,10
1700025K24Rik,0.4464693286921306,7.037173627430806,10.49039906693604,14.074347254861614,0.5980241155736574,0.6836439138107289,0.3185829534208151,0.3064091282433641,0.31426486785876906,10
1700029I15Rik,0.35205156349880057,7.037173627430806,10.49039906693604,14.074347254861614,0.7137844850496142,0.6826579766809383,0.2890218371914251,0.3302494997579368,0.2985955742662637,10
1700030C14Rik,0.3186247482309868,7.037173627430806,10.49039906693604,12.632113253378478,0.5590280289578258,0.5852999256328989,0.2928810535355502,0.3201220067565156,0.21673556511423092,10
1700041G16Rik,0.33089550115370914,7.037173627430806,10.49039906693604,14.074347254861614,0.6994900472756329,0.700341147427782,0.23082040557770767,0.21782663707203642,0.2741174351322891,10
1700047M11Rik,0.3590081767411492,7.037173627430806,12.63211325337848,9.382898169907742,0.6284593713693969,0.6955123656251022,0.2843657578351626,0.3261682299127342,0.32355490262229464,10
1700051A21Rik,0.37563910073041396,7.037173627430806,10.49039906693604,14.835664635167012,0.46170625246438324,0.7333570295130235,0.24600678671815102,0.22945963881028378,0.21127672438796546,10
1700056E22Rik,0.32289153965763456,7.037173627430806,7.037173627430806,12.632113253378478,0.31650352502686124,0.6559415632308041,0.2627606420536135,0.27565329381648984,0.1943920443903042,10
1700061G19Rik,0.41116466658113265,7.037173627430806,10.49039906693604,14.074347254861614,0.4815495609611445,0.5886802978707895,0.24437998087106141,0.29609289080038476,0.1881337392212206,10
1700061H18Rik,0.2822512631604848,7.037173627430806,10.49039906693604,14.074347254861614,0.5685464280404434,0.6483156542633484,0.24883877461362808,0.22856238691779665,0.2421626302219392,10
1700099I09Rik,0.37028054498481094,7.037173627430806,10.49039906693604,14.074347254861614,0.42101550364224155,0.5397227526626737,0.31605938056845767,0.2958974506039908,0.2537689921338313,10
1700102P08Rik,0.4059762180530089,7.037173627430806,10.49039906693604,14.074347254861614,0.6111538848663437,0.721599203747555,0.3091737763712797,0.24151968958430559,0.20629514523858422,10
1700112J16Rik,0.4607165319477186,7.037173627430806,12.63211325337848,16.42007179733855,0.6223723515421749,0.7000802178652866,0.3113272211341494,0.3062685305058669,0.3037667987795425,10
1810019N24Rik,0.2742338858263949,7.037173627430806,10.728172882011632,14.074347254861614,0.47440367545568873,0.5924480601467894,0.24648088100596569,0.25559701415602537,0.15030966698807166,10
1810041L15Rik,0.42576681684120804,7.037173627430806,7.037173627430806,14.074347254861614,0.5728563422623284,0.6008021482538768,0.2891255545111833,0.23084527377953545,0.29911098326156527,10
2010005H15Rik,0.36194526986409686,7.037173627430806,10.49039906693604,10.749460275416212,0.5931684318682188,0.7544515687520055,0.2833707546448657,0.2530386562805458,0.22992380109501848,10
2010007H06Rik,0.3674364985659187,7.037173627430806,12.63211325337848,14.074347254861614,0.6899634537639676,0.5907288517949291,0.2681614681805218,0.2560779639581363,0.3142133513006764,10
2010300C02Rik,0.387477571970744,7.037173627430806,10.49039906693604,12.632113253378478,0.5937805227233385,0.6827657732069643,0.303528214287804,0.2841929601666121,0.24188629481446772,10
2200002D01Rik,0.3908072194113431,7.037173627430806,7.037173627430806,14.074347254861614,0.6860937272990798,0.7339774906988897,0.2953896831423139,0.2901608971412081,0.2425097347971812,10
2210008F06Rik,0.3317883393103775,7.037173627430806,12.63211325337848,14.074347254861614,0.6032049382525814,0.6686705072267928,0.2749474559371165,0.22772430612868647,0.2969834816337551,10
2310007B03Rik,0.18470317300353864,7.037173627430806,12.63211325337848,14.074347254861614,0.4855092369292433,0.6127155001921867,0.286167726647972,0.23574073629836473,0.24528310390612443,10
2310016D03Rik,0.45614991727837784,7.037173627430806,12.63211325337848,16.42007179733855,0.6490932848115756,0.7160212230011966,0.3099754206590613,0.3585203283507534,0.2746610030170611,10
2310016D23Rik,0.38059926068225697,7.037173627430806,10.49039906693604,12.632113253378478,0.40289108021724224,0.6091284180599362,0.24574169885336405,0.26401644241008293,0.2652669703668357,10
2310031A07Rik,0.3313634133361061,7.037173627430806,12.63211325337848,14.074347254861614,0.6608732222272364,0.6554826088043506,0.2983198170717548,0.31252289323175303,0.21456611524573194,10
2310034C09Rik,0.357953130030846,7.037173627430806,12.63211325337848,10.749460275416212,0.5632303011358608,0.6709059867378269,0.27374774380237327,0.27836084139863804,0.2667374625050973,10
2410006H16Rik,0.39835519280288817,7.037173627430806,10.49039906693604,14.074347254861614,0.6431813992446079,0.6694225876486772,0.31419678366563697,0.2659130858558411,0.22550802650395158,10
2410017I17Rik,0.4127450628864074,7.037173627430806,10.49039906693604,14.074347254861614,0.6479433545068475,0.6601253914781895,0.3030335103751883,0.29820198221044736,0.2608376636821325,10
2610028E06Rik,0.3057422248192625,7.037173627430806,10.49039906693604,14.074347254861614,0.6118120603954074,0.6085519791760873,0.2858345716000998,0.216046938713308,0.18704641527788832,10
2610035D17Rik,0.42672965555107906,7.037173627430806,12.63211325337848,14.074347254861614,0.744045011535071,0.5762219506669034,0.31476048364603504,0.3242431175472227,0.21386501868073077,10
2610037D02Rik,0.3625050590207063,7.037173627430806,10.49039906693604,14.074347254861614,0.7853322976618747,0.6633048550652507,0.21288633905286322,0.2179272902862083,0.2105465602074773,10
2610301B20Rik,0.31794920199115895,7.037173627430806,7.037173627430806,14.074347254861614,0.724511334124697,0.7080249836022607,0.2412593782496125,0.3155224965221937,0.13976749706813327,10
2610307P16Rik,0.38493059530932067,7.037173627430806,10.49039906693604,14.074347254861614,0.71840040345888,0.7601988759272793,0.3504434331845492,0.3024200054719175,0.20103241155400478,10
2610528A11Rik,0.2686532525123108,7.037173627430806,10.728172882011632,10.749460275416212,0.5718048851040719,0.6402864536435708,0.2933242013957579,0.2909485889686997,0.19544640400125532,10
2700068H02Rik,0.32665753543560916,7.037173627430806,10.49039906693604,14.074347254861614,0.5867332612018684,0.8052834797620736,0.2780317363274021,0.3456412237581958,0.25795788445417633,10
2810029C07Rik,0.20606576364797724,7.037173627430806,12.63211325337848,14.074347254861614,0.6169585502484833,0.6373248857020967,0.3016165149383947,0.2571126579846598,0.2537526818782397,10
2810403D21Rik,0.3615822657935698,7.037173627430806,10.49039906693604,14.074347254861614,0.4909765316790433,0.7131234974294239,0.2946788814701372,0.2638645899313804,0.29084998752044317,10
2810408A11Rik,0.45153168518050774,7.037173627430806,14.217715262547129,14.074347254861614,0.6146427693199499,0.5605777705255369,0.2651722092426253,0.3134190769265983,0.21674134730311834,10
2900089D17Rik,0.36792974850047533,7.037173627430806,10.49039906693604,14.835664635167012,0.49851991487625613,0.6964197580666461,0.31514920777730593,0.27847551691295674,0.2809632649032626,10
3110079O15Rik,0.33156566060354703,7.037173627430806,15.138065376711701,10.749460275416212,0.5125033405099421,0.5726155804309979,0.3087620928575155,0.2702316764791409,0.27759507168072806,10
3830432H09Rik,0.31852698343291674,7.037173627430806,10.49039906693604,14.074347254861614,0.5150860629716908,0.6848704059833752,0.24799484178764955,0.31958316505861756,0.20262449022584622,10
4631405J19Rik,0.42089184603254276,7.037173627430806,10.49039906693604,10.749460275416212,0.7008935260846928,0.7450342218635443,0.23259972352275174,0.2561266078920662,0.16558637820329167,10
