,Baso,Ccr7_DC,Eos,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
1110002J07Rik,0.9553099755567135,0.34343639613791355,1.0,0.6600791471799283,0.6099916038614193,0.08936682086530125,0.9493388174434978,0.056185352322291625,0.7785489368473828
1110032F04Rik,0.7677822602805536,0.34343639613791355,0.34343639613791355,0.35584114604163897,0.8301810734150487,0.07202935774609476,0.5648812763246684,0.25920123839018383,0.6364468482599785
1500002F19Rik,0.8188330761940996,0.34343639613791355,0.5565650165675332,0.13814824935619238,0.7525679420602971,0.18682928755879674,0.8897452661048396,0.11904432442152728,0.6762300635969496
1500026H17Rik,0.4966272562383689,0.34343639613791355,0.411768148465269,0.35584114604163897,0.6984344672994783,0.16960898019753554,0.9038504642194052,0.0834529632828534,0.04383757613424583
1600010M07Rik,0.9282512456619216,0.34343639613791355,1.0,0.13814824935619238,0.6940789703877184,0.5877732492974459,0.6259616558872709,0.04026386302976286,0.06264280265614552
1700001C19Rik,0.8408737372618634,0.34343639613791355,0.29003341600144816,0.35584114604163897,0.9084706230728913,0.12728752168066637,0.7618852527050052,0.08975587966534632,0.7735643265148556
1700001O22Rik,0.29735259471450615,0.34343639613791355,1.0,0.35584114604163897,0.8166083887549492,0.09505149793871544,0.8060442082470599,0.22284776276378485,0.8251986480108569
1700011I03Rik,0.336243770258448,0.34343639613791355,1.0,0.35584114604163897,0.9999999999999988,0.025084621080372044,0.7088505081295986,0.01346689461825788,0.9315612778218247
1700016F12Rik,0.7548090170666618,0.34343639613791355,1.0,0.13814824935619238,0.2882746575111259,0.2905393171537541,0.828299783507497,0.7635435607965805,0.7496912092557358
1700016K19Rik,0.8107278177516315,0.34343639613791355,1.0,0.13814824935619238,0.9178542826328544,0.09992218585305124,0.9999999999999973,0.04615239864788616,0.6872145983179395
1700025K24Rik,0.9624087083613886,0.34343639613791355,1.0,0.35584114604163897,0.7014025904682141,0.17626594726343492,0.8754277019576644,0.09629296885876347,0.6733892854946053
1700029I15Rik,0.3469463715246671,0.34343639613791355,1.0,0.35584114604163897,0.5596847123747027,0.06955168355218215,0.8813279370839582,0.10971918354978237,1.0
1700030C14Rik,0.7536260794821045,0.34343639613791355,1.0,0.6600791471799283,1.0,0.22245498862790655,0.525142357105601,0.10647028683395844,0.9709213299902903
1700041G16Rik,0.8525144996327069,0.34343639613791355,1.0,0.35584114604163897,0.7758462949572551,0.0603554842559017,0.9256883215227982,0.0021230252734462172,0.4765907685104399
1700047M11Rik,0.8510078053054727,0.34343639613791355,0.5565650165675332,0.35584114604163897,0.822528699184456,0.34064470006300285,0.7836682416802997,0.1709928170253021,0.49249013517108353
1700051A21Rik,0.6278759766671947,0.34343639613791355,1.0,1.0,0.793738346682072,0.4163234078923539,0.4565470974023885,0.005539840301080821,0.18738687609833912
1700056E22Rik,0.5749465660002415,0.34343639613791355,0.34343639613791355,0.6600791471799283,0.6867397029377755,0.15380196683887778,0.5595079452794408,0.15115056843381014,0.675532227824394
1700061G19Rik,0.4412437758386847,0.34343639613791355,1.0,0.35584114604163897,0.3704397946323472,0.38343125216172524,0.459059619227003,0.016580475662439722,0.5699324945602582
