,Baso,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated,pDC
1110002J07Rik,-0.2450828730839485,9.59387995692155,0.0,2.193156880015537,0.22883283837274498,-9.001398766673258,-0.1540743352993474,0.02753464327357502,0.07774170051359001,0.0
1110032F04Rik,-0.24666293972496742,7.034545302234389,0.0,2.2253496952750513,0.20935980788625339,-4.550699376123155,-0.14099546823055914,0.030391178587841718,0.07047898058451627,0.0
1500002F19Rik,-0.1700045641062979,8.959895026363338,0.0,2.2253496952750513,0.2513549557695405,-6.776049071398207,-0.12991062564724618,0.07544484209675163,0.04330887961722275,0.0
1500026H17Rik,-0.1710588020108273,9.741273060846943,0.0,2.2516531324921427,0.2584618917001981,-9.001398766673258,-0.22075960780267728,0.04615807285237825,0.08844969088323415,0.0
1600010M07Rik,-0.10182216124142848,7.034545287807442,0.0,2.2761643678488483,0.18182495305857602,-6.776049071398207,-0.18631421233572804,0.06787385175878653,0.07080782262445387,0.0
1700001C19Rik,-0.3235916237983454,4.6676918738628945,0.0,0.24150372588296998,0.201347596674456,-6.776049071398207,-0.15877400438329556,0.0404317991705725,0.07774103555365601,0.0
1700001O22Rik,-0.29253759508298033,9.118391257199523,0.0,2.4838459116842877,0.3926606669527723,-6.776049071398207,-0.22728575744803256,0.039217672842926,0.09943363028764211,0.0
1700011I03Rik,-0.17052937186513223,4.709195606959339,0.0,2.0516531541325653,0.415809948818579,-4.550699376123155,-0.19060941489520852,0.04181165719548874,0.07619866749582382,0.0
1700016F12Rik,-0.22366098053147376,7.193041525857102,0.0,2.3686456230184083,0.3436828056566094,-2.3253496808481033,-0.35992830767287354,0.09406894109314298,0.13520500035163632,0.0
1700016K19Rik,-0.20056556157950212,6.8667381319208545,0.0,-0.19068903888222555,0.1747767434122574,-6.776049071398207,-0.15626863756287632,-0.009636697556489169,0.10795647395952057,0.0
1700025K24Rik,-0.25837317219109435,7.093041540284051,0.0,1.9931569088694332,0.227356502932889,-6.776049071398207,-0.19615472310955523,0.04839749489935645,0.11145149373599159,0.0
1700029I15Rik,-0.37121800672277144,2.3838459261112357,0.0,-2.5820537098239003,0.18659187808893282,-4.550699376123155,-0.17160391572365935,0.06171303683658365,0.1159557097815985,0.0
1700030C14Rik,-0.058130501982299854,4.409195650240184,0.0,-0.43219275755172165,0.23846080518114884,-9.001398766673258,-0.25142276535563846,0.02684275310017901,0.1312772478756408,0.0
1700041G16Rik,-0.025091535118004826,2.4423421713743685,0.0,2.2516531252786693,0.27704874868639906,-4.550699376123155,-0.19420428313435475,0.06842779508585768,0.05536113980964928,0.0
1700047M11Rik,-0.03993071840689597,4.682892176955721,0.0,-0.2567040289757975,0.297015241042965,-9.001398766673258,-0.2343488808313537,0.09413316125922952,0.0648487357669546,0.0
1700051A21Rik,-0.3290957382103092,9.201398745032837,0.0,2.2516531324921427,0.3825276761126105,-6.776049071398207,-0.22445969557866569,0.10448378544984857,0.07773965994133171,0.0
1700056E22Rik,-0.26235327313501206,9.359894975869022,0.0,1.9101494210361214,0.35153213152536106,-6.776049071398207,-0.21593800082555936,0.06220050156869804,0.09463797469128647,0.0
1700061G19Rik,-0.1968536161513716,4.867691845008997,0.0,2.2101493849687506,0.3777507317029808,-6.776049071398207,-0.16212618027083578,0.01972232747817091,0.06618673631900816,0.0
1700061H18Rik,-0.15838319321343647,4.450699397763577,0.0,2.293156872802062,0.31595297731548133,-6.776049071398207,-0.1817480946146055,0.04822776607556108,0.07158960081578655,0.0
1700099I09Rik,-0.18264174984235967,7.1345452733804935,0.0,2.076164403916218,0.31379921787664633,-9.001398766673258,-0.16612392059680395,0.0203375376036622,0.08361625765570888,0.0
1700102P08Rik,-0.16501168596664634,2.742342142520471,0.0,2.0253497169154744,0.2542925508182146,-6.776049071398207,-0.20665371003376207,0.049881274153962686,0.09387331621373396,0.0
1700112J16Rik,-0.06781335275141423,4.609195621386288,0.0,2.6253496568031887,0.2154247200684154,-6.776049071398207,-0.0962367222977876,0.035922205286862505,0.007951794878008006,0.0
1810019N24Rik,-0.3583731704278004,4.826188097485604,0.0,2.1346606491793514,0.35185890244596135,-6.776049071398207,-0.1560266454425879,-0.010727774655936412,0.1023680823247451,0.0
1810041L15Rik,-0.10190508058082079,4.750699347269258,0.0,2.3101493705418017,0.25652190974446615,-6.776049071398207,-0.1899041014826516,0.012254555831182576,0.08725994926840545,0.0
2010005H15Rik,-0.38561648023152856,-2.166853450011919,0.0,-2.0235575222685624,-0.00748352270082458,-9.001398766673258,-0.16251574933806762,-0.06881579946115782,0.1947020777768083,0.0
2010007H06Rik,-0.04728884148034547,6.93454530223439,0.0,-0.015200310306301378,0.448027965505966,-4.550699376123155,-0.17095921474186468,0.026062474893794308,0.037499547651173075,0.0
2010300C02Rik,-0.23978651841169482,2.4008384310644493,0.0,2.410149370541801,0.32008655279087195,-4.550699376123155,-0.21929726850010348,0.08546728956784497,0.07418783852119762,0.0
2200002D01Rik,-0.34995440020649016,7.093041533070576,0.0,1.893156923296382,0.29289168460907355,-9.001398766673258,-0.19830181755768964,0.05940836471068657,0.12151877568501619,0.0
2210008F06Rik,-0.04980018810784146,7.134545280593967,0.0,-0.23219277919214482,0.29616409091379653,-9.001398766673258,-0.14771134193655905,0.03179619157451833,0.037631338000115706,0.0
2310007B03Rik,-0.16137147704651705,4.650699368909681,0.0,0.02630343721709131,0.29037787561464956,-4.550699376123155,-0.17356952936734737,0.08503377476881777,0.05548790322802044,0.0
2310016D03Rik,-0.2803697398680094,7.310034016383367,0.0,-0.21520028866587843,0.21160319576626158,-4.550699376123155,-0.1516469550245303,-0.019099847131872297,0.10709155072213652,0.0
2310016D23Rik,-0.3052778802459625,9.218391242772576,0.0,2.3101493705418017,0.23698493769308274,-6.776049071398207,-0.1353391280590808,0.03193464974190609,0.08105516715255481,0.0
2310031A07Rik,-0.2579627316456411,6.734545331088287,0.0,2.427141861068067,0.2295603046983014,-6.776049071398207,-0.19951275389947984,0.04627556540094725,0.09599975968646379,0.0
2310034C09Rik,-0.18481610993807318,9.159894997509442,0.0,-0.1321928008325665,0.2758155163680386,-6.776049071398207,-0.18969885153741836,0.13360649047725137,0.03879001056285511,0.0
2410006H16Rik,-0.15342367465295387,2.2253496952750518,0.0,2.3253496880615767,-0.1859822281953948,-2.3253496808481033,-0.29427465189020185,0.00277709930383952,0.20196498123155426,0.0
2410017I17Rik,-0.39601075762208826,2.483845918897761,0.0,-0.33219277197866987,0.37065244101555866,-6.776049071398207,-0.14779724529138544,0.05675329878936471,0.07759911011569562,0.0
2610028E06Rik,-0.1417026213426584,6.793041576351419,0.0,2.4423421785878423,0.41494877997423546,-6.776049071398207,-0.19929722354093457,0.0026361816907961187,0.0763800429864189,0.0
2610035D17Rik,-0.14552809805601438,6.934545309447865,0.0,2.483845918897761,0.34311261822663364,-6.776049071398207,-0.2819181975070504,0.08070347454623769,0.09952594417906659,0.0
2610037D02Rik,-0.2931655024290344,11.402237197737708,0.0,2.5686455965690027,0.4181897565956472,-9.001398766673258,-0.21792381523160623,0.03564397137144388,0.09117883003206056,0.0
2610301B20Rik,-0.3474142369948947,11.543740923620676,0.0,-0.23219279361909195,0.2896035253554179,-9.001398766673258,-0.194817400304016,-0.02845342117600832,0.15685109106643974,0.0
2610307P16Rik,-0.23020816447505538,9.359894975869016,0.0,-0.17369653873799465,0.2983958211976038,-9.001398766673258,-0.2126931216260084,0.04061642368385258,0.10216497937610133,0.0
2610528A11Rik,-0.2459743002300941,9.509080274441327,0.0,-0.19999997114610402,0.46685729314097235,-9.001398766673258,-0.2634792755232723,0.17140851441819918,0.03606777432904913,0.0
2700068H02Rik,-0.23817404972690773,7.1345452829984595,0.0,2.066853464438867,0.2504783243752152,-9.001398766673258,-0.1913532299136742,0.08770082617517502,0.07547019814937136,0.0
2810029C07Rik,-0.3091049345050213,2.616038712516854,0.0,2.3838459261112357,0.4120031450481111,-4.550699376123155,-0.20050095634670165,-0.012512324411110654,0.10542661487225151,0.0
2810403D21Rik,-0.3592536819674162,2.342342185801317,0.0,0.0432959445747958,0.2490674867488965,-4.550699376123155,-0.2036812852273969,0.03648610767605615,0.11734337437544617,0.0
2810408A11Rik,-0.1577188895796436,11.426748433094414,0.0,2.3516531180651943,0.32396130780376525,-4.550699376123155,-0.2325206831324608,0.010234107080446595,0.11022484003980863,0.0
2900089D17Rik,-0.14638662709087275,9.318391237963592,0.0,0.06780717752701058,0.24794892249821374,-6.776049071398207,-0.20627412878412105,0.039858026080967425,0.08217042928244729,0.0
3110079O15Rik,0.01967798358116659,4.567691881076369,0.0,2.1686456374453575,0.27750805975379234,-6.776049071398207,-0.18099739249315291,0.033934396222539145,0.054810595131013495,0.0
3830432H09Rik,-0.18154840511729137,4.8676918377955225,0.0,2.2516531324921423,0.30894431506923253,-6.776049071398207,-0.14740488535191415,-0.022079260413017263,0.07998939146862712,0.0
4631405J19Rik,-0.16906469419374698,6.734545331088287,0.0,0.02630343721709142,0.2684498125838738,-4.550699376123155,-0.1414739070929172,-0.004348797195076537,0.08029757750589388,0.0
