,Baso,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated,pDC
1110002J07Rik,0.13879818307559663,0.013966021766720548,0.0,0.8506869168237399,0.1457427770751453,0.06540556589897925,0.08074916367352528,0.767734177863496,0.23543563939789758,0.0
1110032F04Rik,0.0786091552330828,0.1256326601651365,0.0,0.8705019185564998,0.209323269954606,0.2799572043591872,0.12261657830598632,0.7273267382360962,0.30370416932499544,0.0
1500002F19Rik,0.2530950118901,0.2164605184253504,0.0,0.8705019185564997,0.10441520996147513,0.14667009823403113,0.09973082684270208,0.3617536549399588,0.47118695007060174,0.0
1500026H17Rik,0.1985313385035019,0.012868888521709483,0.0,0.8620405350877217,0.1286411989539431,0.06540556589897925,0.007246608909130416,0.5904812336836904,0.15206114222839182,0.0
1600010M07Rik,0.44136964038094684,0.11530264766766789,0.0,1.0,0.2556827769393788,0.14667009823403113,0.01921005547673704,0.4484195048544648,0.26972133355929095,0.0
1700001C19Rik,0.2936827519997198,0.281457385789351,0.0,0.5458803497534481,0.18663662817023463,0.14667009823403113,0.06073750998128917,0.6441825691872904,0.23799145668090352,0.0
1700001O22Rik,0.19446292354941644,0.11530264766766789,0.0,0.4833901861771789,0.012435591637190189,0.14667009823403113,0.011410302773509727,0.6618917600793711,0.09958801781507255,0.0
1700011I03Rik,0.25060903406648977,0.2746406460142966,0.0,0.7244970142021083,0.004933226147922844,0.2799572043591872,0.011335561024906961,0.6397755287281403,0.21502906017200363,0.0
1700016F12Rik,0.2003789531685729,0.0663531906688526,0.0,0.601023000847384,0.024051689751818685,0.4702547207669704,0.0001455578718780824,0.2707361651688043,0.03251839542076364,0.0
1700016K19Rik,0.35864023798604927,0.22964235958250287,0.0,0.6279017524720149,0.25889915821457127,0.14667009823403113,0.04882269492109255,0.9377516369256742,0.07947987185955903,0.0
1700025K24Rik,0.12335015305846732,0.09865104217758121,0.0,0.5934423303839966,0.13046514194731784,0.14667009823403113,0.01605046409588546,0.5772317897236215,0.0709283342862373,0.0
1700029I15Rik,0.04982282718601283,0.5168136232117863,0.0,0.3419962602536377,0.23210020236783202,0.2799572043591872,0.05100951962330034,0.48817602321418563,0.08683717567010159,0.0
1700030C14Rik,0.6109348192026061,0.636744214080197,0.0,0.3279363207597067,0.14264797225674802,0.06540556589897925,0.008316736582032701,0.7668136970757151,0.056433020615488064,0.0
1700041G16Rik,0.7603125157971395,0.42148622579951445,0.0,1.0,0.06315105555487385,0.2799572043591872,0.011524881049980057,0.4399504175838955,0.40779164666232937,0.0
1700047M11Rik,0.9583950718349187,0.29918223954446777,0.0,0.5004560698888758,0.057357016544717684,0.06540556589897925,0.0032003959029696548,0.27073616516880433,0.32213524590275744,0.0
