,Baso,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
1110002J07Rik,0.6159112667460565,0.552534532653042,0.34343639613791355,0.6409739276943209,0.9557347967539621,0.48693365412778544,0.34135084382503467,0.10534748548344314,0.44085338144522135
1110032F04Rik,0.425075034967209,0.09152644915196487,0.16785065605707486,0.8365443236299981,0.5654653842562762,0.6816763856141759,0.5351740515051066,0.13918503174999267,0.28449591512970474
1500002F19Rik,0.5414775914849359,0.45263724876394285,0.34343639613791355,0.8365443236299983,0.8733745353415321,0.41128643861697944,0.07884519603867968,0.04830979381621459,0.9053848725422304
1500026H17Rik,0.9227367319134318,0.24486002996420891,0.34343639613791355,0.3432895832111098,0.717694022214207,0.24719440008898758,0.887435622084529,0.2867392051619492,0.07813819448613395
1600010M07Rik,0.4141149739928567,0.4877522562031483,0.16785065605707486,0.8279923669552669,0.07853078665988454,1.0,0.5667557291174946,0.312003153802553,0.27058419210772583
1700001C19Rik,0.548834640456586,0.22367823125125033,0.34343639613791355,0.24680010511933353,0.12132548498357998,0.8136136021153796,0.24906451553775155,0.17269160499212244,0.42493606194899336
1700001O22Rik,0.544067101743273,0.8201835237244323,0.16785065605707486,1.0,0.08781151904916974,0.5175101500078587,0.1917609241480124,0.04564413512507962,0.06300094159814429
1700011I03Rik,0.8166108224208883,0.5694812427128483,0.34343639613791355,0.8134830459507065,0.7724679712065151,0.6816763856141759,0.25275004452198224,0.041780444757678684,0.31898812180527036
1700016F12Rik,0.8117576985561694,0.09119322399509008,0.34343639613791355,0.3432895832111098,0.1409617132932935,0.25404004802566815,0.048311848908811454,0.09606959529062423,0.2528814428937209
1700016K19Rik,0.9238186296577027,0.6733220369505304,0.34343639613791355,0.8060824350186249,0.6531519252160514,0.3590116819214234,0.6169756478799371,0.3043022606146595,0.4921260205316662
1700025K24Rik,0.6568216766612908,0.48775225620314855,0.34343639613791355,0.8134830459507065,0.394804141895465,1.0,0.09219160529199755,0.21140347334086151,0.9721746558978324
1700029I15Rik,0.4558841097093582,0.5335385270481052,0.34343639613791355,0.6132506495779415,0.8717551791055308,0.158472221365322,0.7379500986007792,0.12023829524321868,0.08210931828302769
1700030C14Rik,0.700307276935356,0.5120998269641941,0.34343639613791355,0.8332756115917841,0.4379250122076709,0.41128643861697944,0.15295713638597322,0.07520363620086536,0.582643548313629
1700041G16Rik,0.8793248907457978,0.1670291278881255,0.19342205960333228,0.5168136232117861,0.5031871358445834,0.5387931793265937,0.07554879345570376,0.05853521203729861,0.43621085112175206
1700047M11Rik,0.2684328226373601,1.0,0.34343639613791355,1.0,0.8467216183242581,0.589111625618251,0.5006626011731882,0.009562982136796348,0.19902306105397846
1700051A21Rik,0.9612728453257057,0.3086746482636272,0.34343639613791355,1.0,0.6693632807310494,0.5175101500078587,0.1145616160272207,0.2693060948388568,0.9252772347087478
1700056E22Rik,0.747150155041578,0.8297224620481122,0.34343639613791355,0.8411122933835562,0.26543106725360327,0.5387931793265937,0.021982415382983466,0.020105802919708444,0.6083127122158007
1700061G19Rik,0.1797550754789427,0.36972789162388076,0.34343639613791355,0.31040732741198357,0.9072883261582028,0.45290880894259444,0.22973824626448242,0.01552031324236513,0.5329582980294201
1700061H18Rik,0.6835512387891414,0.024831831665484975,0.34343639613791355,0.3432895832111098,0.8198692802619492,0.574187803162012,0.49403759977679174,0.39832654123471856,0.7720805719230576
1700099I09Rik,0.4614969819637622,0.6879330069027794,0.34343639613791355,1.0,0.7019005380823662,0.501755473466824,0.15815150399527883,0.03281464871905009,0.498370416685497
1700102P08Rik,0.4918812604651124,0.20122782208416234,0.34343639613791355,0.6132506495779415,0.5485852837330123,0.32458470870527034,0.18762515093898846,0.037004728421642624,0.4306253198738965
1700112J16Rik,0.3251321159479147,0.34687750549754115,0.34343639613791355,0.6766875003838095,0.13368105453389,0.24754392205324724,0.07912517504467262,0.05976756671686095,0.37981575398715683
1810019N24Rik,0.30299969517848435,0.051526811708817205,0.34343639613791355,0.5168136232117861,0.3325385671940796,0.30133782284589095,0.06047844016704095,0.07472093091248465,0.9366513527641331
1810041L15Rik,0.6944691219684421,0.8089638879295139,0.34343639613791355,0.8279923669552669,0.8218647246919633,0.5175101500078587,0.2757951037106378,0.20285212552787735,0.8627594526555228
2010005H15Rik,0.6922061902402854,0.45263724876394296,0.34343639613791355,0.37245279607829396,0.14670032652541468,0.3867252684901028,0.002804013376571561,0.20613240072427125,0.005508618441641705
2010007H06Rik,0.43297808226719525,0.13603575360134032,0.34343639613791355,0.5567634802810919,0.9154599707932449,0.4930815524244151,0.20576224890021746,0.4245515431953708,0.7673860073664582
2010300C02Rik,0.5568476600019134,0.10365013536558311,0.34343639613791355,1.0,0.23954235685604708,0.4332083246242646,0.10908806641807738,0.04640786705590757,0.3155861772454811
2200002D01Rik,0.688342664012177,0.3086746482636271,0.16785065605707486,0.656579224694315,0.6290610019852372,0.6954882144722776,0.24234411716323923,0.06794102380629963,0.40195487197181556
2210008F06Rik,0.8857294548736638,0.3510221562614816,0.0,0.6883254861190503,0.7956678607908676,0.5175101500078587,0.27355548999658263,0.07778701239323192,0.4806992249360963
2310007B03Rik,0.5236322826778139,0.8201835237244326,0.34343639613791355,1.0,0.6009231897578238,0.4647092004024853,0.17872364379739858,0.0945099884723777,0.5434183111735633
2310016D03Rik,0.6351579990978995,0.7317498709108328,0.19342205960333228,0.6601835407622609,0.9225188784379823,0.41128643861697944,0.47735000776162084,0.2353255359083439,0.5952780941558482
