,Baso,Eos,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
1110002J07Rik,0.8444418050500614,0.791499482030086,0.6055344593883785,0.7615176401771182,0.7323476362585827,0.8307707413589714,0.6781089270309124,0.7365430948102172
1110032F04Rik,0.5928135546488114,0.40849999160555295,0.7771609909615929,0.6005337069750604,0.8784494002558585,0.8698196587871078,0.9298875863110186,0.5945014542988665
1500002F19Rik,1.0,0.29544354834505193,0.7948479003761815,0.7550909622120804,0.30996003301348796,0.6602634197014723,0.3590151353392206,0.5003384455624209
1500026H17Rik,0.22474035261217845,0.08996086179290894,0.6308272420422807,0.587161301998175,0.8617341636115687,0.21728996331664152,0.44195945615913257,0.3363267300443088
1600010M07Rik,0.9633409073079227,0.07664702706394459,0.8284575082571368,0.589679129805313,0.7017796014300588,0.4689785952347245,0.34360800373927636,0.8910725040428917
1700001C19Rik,0.8041178493805681,0.791499482030086,0.5744287025192372,0.5926616972578074,0.31434321066868365,0.5398779020923775,0.8084388040212513,0.5742597803865974
1700001O22Rik,0.3792542466595047,1.0,0.8089638879295138,0.7322657785953572,0.9159162843061208,0.36380778077203957,0.9667749607159812,0.8372012156676994
1700011I03Rik,0.17567389814593423,0.8061143636096239,0.651875720592495,0.7830003759572117,0.36821212590351493,0.8280187012298998,0.7905084859184882,0.940351879074752
1700016F12Rik,0.45072822124110057,0.7732053862634435,0.616246611149109,0.08449004395146015,0.3455974504564133,0.004027549253871969,0.3867761467680889,0.0053251728837018664
1700016K19Rik,0.48868915016963765,0.295443548345052,0.4318176432047982,0.8451100614727423,0.4979995790661693,0.2835278648828126,0.6991308335613304,0.6722705798352162
1700025K24Rik,0.680872153455653,0.20980227106199975,0.8089638879295139,0.8743282798711993,0.9209037791173752,0.9736157467669901,1.0,0.7769689280241843
1700029I15Rik,0.5308678034765348,0.24134117766385774,0.806369561924674,1.0,0.5658245926533638,0.4452092995651499,0.6743092743994428,0.8520354452798603
1700030C14Rik,0.39633773856186993,0.14568923387231225,1.0,0.5711023156347554,1.0,0.5450657728465587,0.8647069305474807,0.8458361319058378
1700041G16Rik,0.5815944423620105,0.4764597794221608,1.0,0.8705613526128759,0.652602601270196,0.40302441207858564,0.5625187748472709,0.6580094187207902
1700047M11Rik,0.5771700766380641,0.3197974444913544,0.7948479003761811,0.4817497052944514,0.21674968289436375,0.4738461695949632,0.869590879830253,0.5980430902525276
1700051A21Rik,0.07543384245440647,0.618290726577436,1.0,0.9999999999999996,0.7721191227005326,0.5780783517691399,0.5441381972540104,1.0
1700056E22Rik,0.3150517304580869,0.5321314335693004,0.3913999153233192,0.6969163939772887,0.532556728002425,0.5652307828885089,0.964693360978411,0.42910616141324043
1700061G19Rik,0.8904124342287487,0.5031108748056478,1.0,0.759007050141584,0.6338493226683894,0.5697915039840296,0.8302890841150798,0.6893099188958638
1700061H18Rik,0.1970897905273975,0.17250447068896896,0.806369561924674,0.8619170726365003,0.6664705438252629,0.518229137536794,0.9687930415550317,0.6603304934874549
1700099I09Rik,0.28463144321608863,0.791499482030086,1.0,0.7901189030395683,1.0,0.5818357746954628,0.9648180731751992,0.1027194220607814
1700102P08Rik,0.5913595227770543,0.2098022710619999,0.4318176432047982,0.5798482968152197,0.7891163521255022,0.5604874133477891,0.8886021356575735,0.5618437205403342
1700112J16Rik,0.6496055761933706,0.7732053862634435,0.7948479003761815,0.3205439513379251,0.39878095154106963,0.3195313801089351,0.8652574609609208,0.4941896045134081
1810019N24Rik,0.6412201095677472,0.2554466657414304,0.8205515915819048,1.0,0.7626328775048433,0.8311151298481739,0.9999999999999981,0.6612478355593687
1810041L15Rik,0.913060764496972,0.7772267098993264,0.8089638879295138,0.8809853910446319,0.9536507303366488,0.9418433213586122,0.8157691355635783,0.9033579232391009
2010005H15Rik,0.4760386970225511,0.20980227106199975,0.4318176432047982,0.2794316591427706,1.0,0.4784504249877838,0.02028487310966456,0.040638131721491506
2010007H06Rik,0.12161637888561255,0.5031108748056475,0.5876990960118247,0.5785906767545482,0.5296392188895475,0.6328506359765508,0.9137672365431361,0.46069434453187097
2010300C02Rik,0.17272347022994441,0.40849999160555295,0.806369561924674,0.44838609300041943,0.029376942749088798,0.6035248178586248,0.5783025945645472,0.4155676082098262
2200002D01Rik,0.6247613105110723,0.3307261909339273,0.6055344593883787,0.5201635273571821,0.513323541387148,0.852384661497419,0.8333527802601944,0.49849519566858924
2210008F06Rik,0.6887943591293602,0.7772267098993264,1.0,0.6239183807977126,0.7497120008603329,0.9678560552961638,0.7025197041835349,0.7925891218478401
2310007B03Rik,0.545143772332059,0.7772267098993264,1.0,0.3896402776963186,0.9154854166688523,0.936106614160328,0.9651546455066967,0.8124955097618511
2310016D03Rik,0.8944806230509078,0.5906400207514709,1.0,0.745174635210742,0.6501526901130583,0.649123357413165,0.7797407852616935,0.5315494427999825
2310016D23Rik,0.6127806516399417,0.29544354834505193,0.7771609909615929,0.4223735456109722,0.7518998853026984,0.7941856657214943,0.8080864666501525,0.48318124553134667
2310031A07Rik,0.442053599877246,0.5710972580054601,1.0,0.6032264708447752,0.6567302684107366,0.9719660924001796,0.762437817965741,0.752714549795725
2310034C09Rik,0.8287522857950339,0.40849999160555306,0.5876990960118247,0.7231637650304256,0.4757739357322758,0.5109008123923138,0.6394095254032921,0.2932413647353557
2410006H16Rik,0.3320100368404507,0.3918968230769304,0.8089638879295138,0.8803660633107815,0.6915296153411676,0.22197722841920592,0.1382785812105525,0.12106444515762037
2410017I17Rik,0.9574654552982602,0.29544354834505193,1.0,0.9999999999999996,0.9192908347772428,0.9409292599552623,0.858066331713023,0.972686333229445
2610028E06Rik,0.4233756932058378,0.14568923387231225,0.7771609909615929,0.5411108126548428,0.8582760229266373,0.5428576447893627,0.9031761577614227,0.7047175372772982
2610035D17Rik,0.9569033367341602,0.40849999160555306,0.26772270869674825,0.3759923286392537,0.2740810989739436,0.5300533497139865,0.7266049605907033,0.08054162226641325
2610037D02Rik,0.8604058636782163,1.0,0.7948479003761815,0.9999999999999996,0.6804271430035238,0.40216323489127836,0.6177538633290014,0.5033397219428192
2610301B20Rik,0.17153360153772948,0.791499482030086,0.5520213639887086,0.761517640177118,0.702743682308274,0.5014791876777599,0.577930585946779,0.6124834443327083
2610307P16Rik,0.38056892253873165,0.09845368035778311,0.7916388505400503,0.8960454045026325,0.8470809319600271,0.4800683478955171,0.7509557624638283,0.22723855722154537
2610528A11Rik,0.02069339649313658,0.2554466657414305,1.0,0.7019279809577005,0.4868213071309224,0.4409003958591684,0.6976437865160735,0.7375617690082337
2700068H02Rik,0.7731093744556794,0.6770456021109028,0.3913999153233192,0.860957104219098,1.0,0.738044465290943,0.8755041660133226,0.9312739106963988
2810029C07Rik,0.3578135032820039,0.4453122458971731,0.3913999153233192,0.6046512190890928,0.767443887274335,0.7689676347260159,0.3433236599548041,0.7217461575753605
2810403D21Rik,0.5961843445870503,0.24134117766385774,0.8089638879295138,0.34959478605952954,0.30918291253454316,0.0935189304642785,0.5014382831310122,0.2848310808909196
