,Baso,Ccr7_DC,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
1110002J07Rik,-0.09264631177655955,-2.2253496952750518,-0.09999998557305148,0.0,2.4593346763275816,-0.19246652441878612,4.850699340055783,-0.0817137806475847,0.28488721416050417,-0.06971977647779859
1110032F04Rik,0.00020074033871022302,-2.2253496952750518,6.676049085825156,0.0,2.5008384238509747,-0.205430052508007,2.52534965920768,-0.13556298580122034,0.18646322239333596,-0.0047151305053308975
1500002F19Rik,0.09014056468343659,-2.2253496952750518,-2.3253496808481033,0.0,2.268645630231883,-0.3805257887888316,4.682892176955721,-0.11195632698554525,0.26835145316733977,-0.06517695871316334
1500026H17Rik,-0.08903754255331495,-2.2253496952750518,4.3506994049770515,0.0,2.027141911562386,-0.1359748705258305,7.008241857803824,-0.07571642787492401,0.2513639856180603,-0.052903256434465806
1600010M07Rik,-0.013397631668396937,-2.2253496952750518,4.4506993905501036,0.0,2.410149380159766,-0.211463617936937,7.076049035330835,-0.04577524551363183,0.20940676842280093,-0.08656139249715197
1700001C19Rik,0.03755545207291417,-2.2253496952750518,-2.225349695275052,0.0,2.317830943231137,-0.35142090908155355,4.850699340055783,-0.1913997506986791,0.2661781877550171,-0.00436443547354638
1700001O22Rik,-0.041537399089688336,-2.2253496952750518,0.0,0.0,2.1686456518723043,-0.13982549423554,2.4253496736346287,-0.14293063662838215,0.2987336915015656,-0.04997395274522764
1700011I03Rik,0.022667193471123448,-2.2253496952750518,-0.09999998557305148,0.0,2.4745349866338833,-0.40402778995061334,2.6253496447807314,-0.08101211942158715,0.2916128516052314,-0.08706140284569683
1700016F12Rik,-0.03174551482333321,-2.2253496952750518,2.3253496808481033,0.0,2.3160387630111727,0.1115477201143377,7.208241828949928,-0.18728896713772644,0.11209657375336139,0.02105046387780826
1700016K19Rik,0.035639136512988404,-2.2253496952750518,-2.3253496808481033,0.0,2.251653139705616,-0.12283299497295577,0.3999999495056798,-0.06858244177502165,0.18647119260102557,-0.07195017467756457
1700025K24Rik,0.05287819076943381,-2.2253496952750518,-0.09999998557305183,0.0,2.4271418682815407,-0.2096861481898697,2.7253496303537834,-0.16939688698077426,0.24598858644668317,-0.037686194666315224
