,Baso,Ccr7_DC,Eos,Erythroid,Lymphoid,Mast,Meg,Monocyte,Neutrophil,Undifferentiated
1110002J07Rik,0.583317785060917,0.34343639613791355,0.7146985496691125,0.0,0.40219669687493953,0.3213602605493489,0.1367146380647396,0.3102816441228774,0.007902751060740919,0.3672288162103531
1110032F04Rik,0.8299584210198977,0.34343639613791355,0.3419256513503085,0.0,0.32360725103028676,0.2853502063210348,0.27667775418315593,0.06203304115351895,0.04831726520519952,0.9693863768617323
1500002F19Rik,0.34302678529180675,0.34343639613791355,0.4507918774045334,0.0,0.8571961012799872,0.09578624338741183,0.2540642411471293,0.24285516951695874,0.0068481255978703635,0.3876916148413543
1500026H17Rik,0.6724249124256105,0.34343639613791355,0.7225016367781962,0.0,0.7272240155068415,0.47300370401972813,0.13350848004267166,0.2929437861546031,0.020842840952019638,0.44642263610682
1600010M07Rik,0.9999999999999978,0.34343639613791355,0.5304882395934163,0.0,0.3881391027102511,0.37086755058874654,0.08193408125191241,0.4630759126196854,0.053967390409451324,0.18964906899316986
1700001C19Rik,0.6076991804220537,0.34343639613791355,0.7486382049283824,0.0,0.6216649913805361,0.1732638803329421,0.1367146380647396,0.030587695992446044,0.006125037828569978,1.0
1700001O22Rik,0.969961511698983,0.34343639613791355,1.0,0.0,0.8705046208262098,0.46882473870807095,0.3613744035749584,0.10273724813203237,0.0026884407967604222,0.5061650021300784
1700011I03Rik,0.738555090923698,0.34343639613791355,0.7146985496691125,0.0,0.35142349570759135,0.08885706796134844,0.20995720253887085,0.2486764267375497,0.00834925312519188,0.1967579717371402
1700016F12Rik,0.9655049881956911,0.34343639613791355,0.5710972580054601,0.0,0.4763677660573594,0.42500825899990113,0.07221481737181225,0.011610185067644973,0.2929162887569094,0.660839526134496
1700016K19Rik,0.6626224617247501,0.34343639613791355,0.4507918774045334,0.0,0.7435636411058206,0.4316467267069719,0.3023793422591034,0.5205843024571488,0.07204024397106135,0.4413908461300654
1700025K24Rik,0.5282166161177916,0.34343639613791355,0.7146985496691125,0.0,0.47893309374181814,0.2853502063210348,0.1576014146486597,0.060339766198307776,0.017005457653269784,0.6903239690067855
1700029I15Rik,0.9649665177292992,0.34343639613791355,0.5304882395934163,0.0,0.20911262052476629,0.4211987911501589,0.27667775418315593,0.46848346502805727,0.008740339096178835,0.15472027257923712
1700030C14Rik,0.717117512324184,0.34343639613791355,0.7146985496691125,0.0,0.5713074046149436,0.18960165193778583,0.27667775418315593,0.5374085016651042,0.005736352803793676,0.1733313282356988
1700041G16Rik,0.9044901029983368,0.34343639613791355,0.7146985496691125,0.0,0.5427034706249418,0.5494123815089368,0.018792924389075254,0.11226589738732504,0.004645104615898611,0.1791264252811932
1700047M11Rik,0.4959427902336667,0.34343639613791355,0.754145572876918,0.0,0.1878951351837489,0.09280863911804572,0.3661549515482643,0.12102798702313439,0.010584552585824488,0.3675688832539138
1700051A21Rik,0.4982358419497236,0.34343639613791355,0.3419256513503085,0.0,0.8571961012799872,0.30724478529438404,0.08193408125191241,0.1640266470929706,0.012355290313826773,0.1514816121121818
1700056E22Rik,0.8411828515275297,0.34343639613791355,0.39164844241357877,0.0,0.8620480133148125,0.11029379364962608,0.27667775418315593,0.09880907572795194,0.042786248878854204,0.9437999955999649
1700061G19Rik,0.36630446436962305,0.34343639613791355,1.0,0.0,0.8742141557253142,0.01778973757237957,0.18521751378376494,0.06250148304111561,0.0008203839110212136,0.23557343222214097
1700061H18Rik,0.5891826861553038,0.34343639613791355,0.5304882395934163,0.0,0.9999999999999996,0.20743001263371635,0.27667775418315593,0.09826993879760926,0.030024879158082753,0.6949833868002988
1700099I09Rik,0.44543759262552574,0.34343639613791355,0.4507918774045334,0.0,0.8705046208262112,0.08271391191331347,0.23062606678537864,0.44295923196994613,0.03390311834558144,0.3767787464164327
1700102P08Rik,0.9655049881956911,0.34343639613791355,0.39164844241357877,0.0,0.585512709558519,0.32435362503132625,0.21388356766496797,0.06552008448132253,0.0037227191707692084,0.5363135686269977
1700112J16Rik,0.4213002622599512,0.34343639613791355,0.7486382049283824,0.0,0.6216649913805361,0.23003232545019167,0.20995720253887085,0.5476759776898261,0.008848999592058607,0.04996518634670273
1810019N24Rik,0.8060577863185989,0.34343639613791355,1.0,0.0,0.5198337559061833,0.11831221857473292,0.27374223218868726,0.09098888160907594,0.00828033660110948,0.7093173234434396
1810041L15Rik,0.5359869107243417,0.34343639613791355,0.7225016367781962,0.0,0.47893309374181814,0.023069019925616836,0.14967129616814706,0.42239020647106507,0.012292781990480403,0.45578359602066854
2010005H15Rik,0.1764313172612911,0.34343639613791355,0.7146985496691125,0.34343639613791355,0.8742141557253142,0.5101725921458377,0.27667775418315593,0.005989486745786049,0.003050148093387689,0.6793785327814699
2010007H06Rik,0.3986127866873228,0.34343639613791355,0.5304882395934163,0.0,0.6319157842760704,0.13637638661035328,0.3891146716353131,0.2556858690659304,0.0467777390761288,0.33220634224688106
2010300C02Rik,0.5264957687157318,0.34343639613791355,1.0,0.0,0.21928937653095493,0.17727433904930426,0.06425611676526137,0.04244778247977846,0.00402058845253169,0.23308292889494095
