gene,pooled_mean_lfc_re,combined_pval,x,y,significant,insignificant,pos,neg,sig.pos,sig.neg,insig.pos,insig.neg,group
FUCA2,0.12086386674436356,1.1832758908840628e-23,0.12086386674436356,22.92691398409634,True,False,True,False,True,False,False,False,sig.pos
HECW1,-0.028118637638935004,0.013698539900777452,-0.028118637638935004,1.863325720933271,True,False,False,True,False,True,False,False,sig.neg
MAD1L1,0.05837206990688465,0.0004522505106325275,0.05837206990688465,3.3446209341093565,True,False,True,False,True,False,False,False,sig.pos
CFLAR,0.10619868007134227,2.7744702477912515e-09,0.10619868007134227,8.556819928009435,True,False,True,False,True,False,False,False,sig.pos
MTMR7,-0.010603617348242578,0.2813212934920457,-0.010603617348242578,0.5507973944039237,False,True,False,True,False,False,False,True,insig.neg
SARM1,0.0860529572518127,7.932063802670442e-08,0.0860529572518127,7.100613801143958,True,False,True,False,True,False,False,False,sig.pos
CAMKK1,-0.0668603646660613,1.6705676684761942e-07,-0.0668603646660613,6.777135928017109,True,False,False,True,False,True,False,False,sig.neg
ARHGAP33,-0.022612246036085103,0.259868913845098,-0.022612246036085103,0.5852456687598164,False,True,False,True,False,False,False,True,insig.neg
SLC4A1,-0.049371415363231155,0.003734847090881752,-0.049371415363231155,2.427727174021453,True,False,False,True,False,True,False,False,sig.neg
MPO,-0.4486328103196409,1.946723625629923e-44,-0.4486328103196409,43.71069570044894,True,False,False,True,False,True,False,False,sig.neg
MAP3K14,-0.10029957519081527,1.6257674106320277e-09,-0.10029957519081527,8.788941586358398,True,False,False,True,False,True,False,False,sig.neg
ZNF263,-0.08075106575334802,3.5723284766559724e-06,-0.08075106575334802,5.447048614441859,True,False,False,True,False,True,False,False,sig.neg
SPATA20,-0.00375667904725005,0.005289940628092075,-0.00375667904725005,2.2765492022628653,True,False,False,True,False,True,False,False,sig.neg
TNFRSF12A,0.0029958859601786317,0.5446946803927486,0.0029958859601786317,0.2638468661209499,False,True,True,False,False,False,True,False,insig.pos
MAP3K9,-0.015010120689744734,0.33062492533520127,-0.015010120689744734,0.4806644086971511,False,True,False,True,False,False,False,True,insig.neg
KDM7A,0.014195776605241253,2.3376527029148266e-09,0.014195776605241253,8.631220010030983,True,False,True,False,True,False,False,False,sig.pos
PRSS21,0.02321722607864675,0.002075798480458273,0.02321722607864675,2.682814810299984,True,False,True,False,True,False,False,False,sig.pos
RPUSD1,-0.06574627454004975,2.99828746620213e-09,-0.06574627454004975,8.523126730727146,True,False,False,True,False,True,False,False,sig.neg
TSR3,-0.027626446875532944,0.0007485527516839066,-0.027626446875532944,3.125777588830656,True,False,False,True,False,True,False,False,sig.neg
PIGQ,0.08930364831541143,2.971907642938292e-11,0.08930364831541143,10.526964691138078,True,False,True,False,True,False,False,False,sig.pos
