velo_g_4.0_training,step,velo_g_7.0_training,velo_f_7.0_training,sinkhorn_7.0_training,total_epochs,velo_f_4.0_training,sinkhorn_4.0_training,velo_ratio_7.0_training,epoch,velo_ratio_4.0_training,opt_param_group_lr,velo_f_4.0_validation,velo_f_7.0_validation,sinkhorn_7.0_validation,epoch_validation_loss,velo_g_4.0_validation,velo_ratio_7.0_validation,velo_g_7.0_validation,velo_ratio_4.0_validation,sinkhorn_4.0_validation,epoch_train_loss
1.4384703636169434,0,1.4570579528808594,0.00974042434245348,125.10084533691406,0.0,0.00973629392683506,0.0,621.6619262695312,0,621.620361328125,9.999999747378752e-05,,,,,,,,,,
1.724031686782837,1,1.7230727672576904,0.022509200498461723,105.36283874511719,0.0,0.0220969058573246,0.0,618.4853515625,0,618.6079711914062,9.999999747378752e-05,,,,,,,,,,
,1,,,,0.0,,,,0,,9.999999747378752e-05,0.022954430431127548,0.023225918412208557,147.93411254882812,147.93411254882812,1.422446608543396,616.9456787109375,1.437162160873413,616.9573974609375,0.0,
,1,,,,,,,,0,,,,,,,,,,,,115.23184204101562
1.3640650510787964,2,1.3609044551849365,0.02324235439300537,125.44219207763672,1.0,0.02334364876151085,0.0,616.4898681640625,1,616.47265625,9.999999747378752e-05,,,,,,,,,,
,2,,,,1.0,,,,1,,9.999999747378752e-05,0.0326652005314827,0.032282911241054535,147.8048095703125,147.8048095703125,1.4240410327911377,613.7669677734375,1.4304801225662231,613.5833740234375,0.0,
,2,,,,,,,,1,,,,,,,,,,,,125.44219207763672
1.3208868503570557,3,1.31662917137146,0.03209542855620384,125.90640258789062,2.0,0.03231348097324371,0.0,612.8709716796875,2,612.8281860351562,9.999999747378752e-05,,,,,,,,,,
,3,,,,2.0,,,,2,,9.999999747378752e-05,0.04031779617071152,0.039840299636125565,129.14285278320312,129.14285278320312,1.239747405052185,608.9295043945312,1.231523871421814,608.84521484375,0.0,
,3,,,,,,,,2,,,,,,,,,,,,125.90640258789062
1.276908278465271,4,1.2706769704818726,0.040065016597509384,125.362060546875,3.0,0.04055165871977806,0.0,609.334228515625,3,609.2221069335938,9.999999747378752e-05,,,,,,,,,,
,4,,,,3.0,,,,3,,9.99999901978299e-05,0.049062859266996384,0.047867301851511,158.2333984375,135.992919921875,1.2438210248947144,605.8414306640625,1.239701747894287,605.4320068359375,0.0,
,4,,,,,,,,3,,,,,,,,,,,,125.362060546875
1.2505064010620117,5,1.240809679031372,0.047360219061374664,124.70414733886719,4.0,0.04825134947896004,0.0,606.0612182617188,4,605.856201171875,9.999999747378752e-05,,,,,,,,,,
1.0570051670074463,6,1.0495694875717163,0.0548817478120327,146.42098999023438,4.0,0.054802458733320236,0.0,599.1286010742188,4,599.3452758789062,9.999999747378752e-05,,,,,,,,,,
,6,,,,4.0,,,,4,,9.999999747378752e-05,0.06346441060304642,0.061298880726099014,156.02479553222656,157.04931640625,1.2550607919692993,600.4681396484375,1.2386525869369507,599.925048828125,0.0,
,6,,,,,,,,4,,,,,,,,,,,,135.56256103515625
1.2104922533035278,7,1.192365288734436,0.05973362550139427,121.60157012939453,5.0,0.06212197616696358,0.0,600.20263671875,5,599.6035766601562,9.999999747378752e-05,,,,,,,,,,
1.1123236417770386,8,1.1142774820327759,0.06638212502002716,140.54306030273438,5.0,0.0724627822637558,0.0,595.56787109375,5,592.8516235351562,9.999999747378752e-05,,,,,,,,,,
,8,,,,5.0,,,,5,,9.999999747378752e-05,0.07518558949232101,0.07264407724142075,141.92303466796875,141.92303466796875,1.2174582481384277,594.9863891601562,1.1954776048660278,594.5032958984375,0.0,
,8,,,,,,,,5,,,,,,,,,,,,131.0723114013672
1.1690638065338135,9,1.1459829807281494,0.07161536067724228,125.36747741699219,6.0,0.07572244852781296,0.0,594.1442260742188,6,593.0335693359375,9.999999747378752e-05,,,,,,,,,,
