epoch,epoch_train_loss,epoch_validation_loss,opt_param_group_lr,sinkhorn_0.0_training,sinkhorn_0.0_validation,sinkhorn_1.0_training,sinkhorn_1.0_validation,sinkhorn_10.0_training,sinkhorn_10.0_validation,sinkhorn_2.0_training,sinkhorn_2.0_validation,sinkhorn_3.0_training,sinkhorn_3.0_validation,sinkhorn_4.0_training,sinkhorn_4.0_validation,sinkhorn_5.0_training,sinkhorn_5.0_validation,sinkhorn_6.0_training,sinkhorn_6.0_validation,sinkhorn_7.0_training,sinkhorn_7.0_validation,sinkhorn_8.0_training,sinkhorn_8.0_validation,sinkhorn_9.0_training,sinkhorn_9.0_validation,step,total_epochs,velo_f_0.0_training,velo_f_0.0_validation,velo_f_1.0_training,velo_f_1.0_validation,velo_f_10.0_training,velo_f_10.0_validation,velo_f_2.0_training,velo_f_2.0_validation,velo_f_3.0_training,velo_f_3.0_validation,velo_f_4.0_training,velo_f_4.0_validation,velo_f_5.0_training,velo_f_5.0_validation,velo_f_6.0_training,velo_f_6.0_validation,velo_f_7.0_training,velo_f_7.0_validation,velo_f_8.0_training,velo_f_8.0_validation,velo_f_9.0_training,velo_f_9.0_validation,velo_g_0.0_training,velo_g_0.0_validation,velo_g_1.0_training,velo_g_1.0_validation,velo_g_10.0_training,velo_g_10.0_validation,velo_g_2.0_training,velo_g_2.0_validation,velo_g_3.0_training,velo_g_3.0_validation,velo_g_4.0_training,velo_g_4.0_validation,velo_g_5.0_training,velo_g_5.0_validation,velo_g_6.0_training,velo_g_6.0_validation,velo_g_7.0_training,velo_g_7.0_validation,velo_g_8.0_training,velo_g_8.0_validation,velo_g_9.0_training,velo_g_9.0_validation,velo_ratio_0.0_training,velo_ratio_0.0_validation,velo_ratio_1.0_training,velo_ratio_1.0_validation,velo_ratio_10.0_training,velo_ratio_10.0_validation,velo_ratio_2.0_training,velo_ratio_2.0_validation,velo_ratio_3.0_training,velo_ratio_3.0_validation,velo_ratio_4.0_training,velo_ratio_4.0_validation,velo_ratio_5.0_training,velo_ratio_5.0_validation,velo_ratio_6.0_training,velo_ratio_6.0_validation,velo_ratio_7.0_training,velo_ratio_7.0_validation,velo_ratio_8.0_training,velo_ratio_8.0_validation,velo_ratio_9.0_training,velo_ratio_9.0_validation
0,,,9.999999747378752e-05,0.0,,120.73611450195312,,298.06146240234375,,124.38960266113281,,123.88028717041016,,140.86465454101562,,141.8092498779297,,138.79168701171875,,167.82742309570312,,214.591064453125,,263.1927490234375,,0,0.0,0.009550461545586586,,0.009443642571568489,,0.009281806647777557,,0.009423141367733479,,0.009398109279572964,,0.009394523687660694,,0.009360791184008121,,0.009344617836177349,,0.009345448575913906,,0.009324504062533379,,0.009309405460953712,,1.2587432861328125,,1.265467882156372,,1.29056715965271,,1.2707016468048096,,1.2747368812561035,,1.2757713794708252,,1.277109146118164,,1.2799001932144165,,1.2816765308380127,,1.2822530269622803,,1.2913243770599365,,621.212158203125,,621.2743530273438,,621.4090576171875,,621.297607421875,,621.319091796875,,621.3235473632812,,621.3405151367188,,621.3547973632812,,621.3595581054688,,621.3692626953125,,621.4005737304688,
0,,,9.999999747378752e-05,0.0,,116.22748565673828,,275.89892578125,,120.89990997314453,,120.81610107421875,,131.46563720703125,,140.0965118408203,,137.33140563964844,,165.1846160888672,,203.51194763183594,,268.247314453125,,1,0.0,0.018656644970178604,,0.018558520823717117,,0.018360154703259468,,0.01850440911948681,,0.0184940192848444,,0.018495528027415276,,0.018522679805755615,,0.018563780933618546,,0.018569761887192726,,0.018482012674212456,,0.018400179222226143,,1.1429634094238281,,1.1406769752502441,,1.1377365589141846,,1.1416923999786377,,1.139861822128296,,1.1402699947357178,,1.1374332904815674,,1.1341841220855713,,1.1380420923233032,,1.1368250846862793,,1.136169195175171,,616.8651123046875,,616.8916015625,,616.9573974609375,,616.9223022460938,,616.9138793945312,,616.9161376953125,,616.8841552734375,,616.8430786132812,,616.867919921875,,616.897705078125,,616.9288330078125,
0,,,9.999999747378752e-05,0.0,,111.20220184326172,,273.091796875,,122.32386016845703,,122.6258544921875,,139.53639221191406,,138.2362518310547,,140.84280395507812,,156.9131317138672,,195.53330993652344,,248.5845184326172,,2,0.0,0.026657406240701675,,0.026541665196418762,,0.026176277548074722,,0.0269022136926651,,0.027086807414889336,,0.027182001620531082,,0.027173662558197975,,0.027215564623475075,,0.02706688642501831,,0.02683943510055542,,0.02653614617884159,,1.0638220310211182,,1.057944655418396,,1.0481840372085571,,1.0545496940612793,,1.0491355657577515,,1.0468860864639282,,1.0481375455856323,,1.0480347871780396,,1.0471545457839966,,1.04819917678833,,1.0485986471176147,,612.5337524414062,,612.51904296875,,612.575927734375,,612.309814453125,,612.1575927734375,,612.0850830078125,,612.1044311523438,,612.0833740234375,,612.1427612304688,,612.262939453125,,612.4109497070312,
0,,2675.052490234375,9.999999747378752e-05,,0.0,,124.28601837158203,,436.34564208984375,,152.9667205810547,,222.70103454589844,,215.708984375,,178.22525024414062,,281.8214111328125,,357.80560302734375,,335.7341003417969,,369.45770263671875,2,0.0,,0.03550432249903679,,0.03527754545211792,,0.032861750572919846,,0.03613555058836937,,0.03660745918750763,,0.036593224853277206,,0.03630955517292023,,0.03606138750910759,,0.03500548005104065,,0.03394901379942894,,0.03340597450733185,,0.8726400136947632,,0.8538632392883301,,0.7637001872062683,,0.8358342051506042,,0.8171893954277039,,0.7990363240242004,,0.7868756055831909,,0.7776257395744324,,0.7707089781761169,,0.7659441828727722,,0.7632760405540466,,604.822509765625,,604.5130004882812,,603.6703491210938,,603.5704345703125,,602.8023071289062,,602.3114013671875,,602.1409301757812,,602.0281982421875,,602.496337890625,,603.0348510742188,,603.3082885742188
0,1687.5714111328125,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,9.999999747378752e-05,0.0,,120.64755249023438,,299.21246337890625,,118.732177734375,,128.3645477294922,,128.70816040039062,,136.0475616455078,,117.97179412841797,,140.93704223632812,,193.89422607421875,,273.907470703125,,3,1.0,0.03312172368168831,,0.03313416242599487,,0.033568818122148514,,0.033767350018024445,,0.03426864370703697,,0.034789275377988815,,0.034826528280973434,,0.034824829548597336,,0.03465656936168671,,0.03421490639448166,,0.03391040489077568,,1.0359926223754883,,1.0331193208694458,,1.0306107997894287,,1.0291632413864136,,1.0234065055847168,,1.0225080251693726,,1.019958734512329,,1.0212373733520508,,1.0211601257324219,,1.0228064060211182,,1.025451898574829,,609.1167602539062,,609.0668334960938,,608.8201904296875,,608.702392578125,,608.36962890625,,608.10400390625,,608.0440673828125,,608.0660400390625,,608.14599609375,,608.3859252929688,,608.5750122070312,
1,,,9.999999747378752e-05,0.0,,121.6363754272461,,298.1930236816406,,122.48107147216797,,121.95655059814453,,136.92002868652344,,129.82467651367188,,125.45561218261719,,147.9952392578125,,205.25308227539062,,269.194580078125,,4,1.0,0.04002095386385918,,0.039990589022636414,,0.03996967524290085,,0.04051102697849274,,0.04152124747633934,,0.04233283922076225,,0.04254062846302986,,0.04252466559410095,,0.04205922409892082,,0.04152524098753929,,0.04068712145090103,,0.9942121505737305,,0.9864826798439026,,0.9632272124290466,,0.9789562821388245,,0.9716207981109619,,0.9621649980545044,,0.9554096460342407,,0.9537363052368164,,0.9513375759124756,,0.9537432193756104,,0.9576340913772583,,605.0350952148438,,604.8950805664062,,604.4244384765625,,604.4802856445312,,603.815673828125,,603.19482421875,,602.9352416992188,,602.9051513671875,,603.0901489257812,,603.419921875,,603.9369506835938,
1,,,9.999999747378752e-05,0.0,,116.00956726074219,,299.2589111328125,,126.10565948486328,,121.1549301147461,,129.89724731445312,,131.120849609375,,115.18700408935547,,153.24179077148438,,197.49005126953125,,268.09844970703125,,5,1.0,0.04614954814314842,,0.04636485129594803,,0.04605266451835632,,0.04732504114508629,,0.04867753013968468,,0.049465324729681015,,0.049702238291502,,0.04927164316177368,,0.048580415546894073,,0.04740586504340172,,0.04682394489645958,,0.9408044815063477,,0.9286580085754395,,0.9162021279335022,,0.9191327691078186,,0.910594642162323,,0.902356743812561,,0.8967477679252625,,0.8957671523094177,,0.8962616920471191,,0.8985968232154846,,0.9056424498558044,,600.7139892578125,,600.285888671875,,600.1202392578125,,599.5206909179688,,598.557373046875,,597.8915405273438,,597.5947265625,,597.7999877929688,,598.192138671875,,598.900634765625,,599.4160766601562,
1,,1832.482177734375,9.999999747378752e-05,,,,0.0,,379.57196044921875,,82.80723571777344,,74.28401184082031,,150.41256713867188,,166.5722198486328,,181.33090209960938,,259.721435546875,,234.7085723876953,,303.0732421875,5,1.0,,,,0.05321238562464714,,0.05004432797431946,,0.0531250424683094,,0.052908897399902344,,0.05296263098716736,,0.05271054431796074,,0.05233863741159439,,0.05157364532351494,,0.051034193485975266,,0.050576578825712204,,,,1.0536223649978638,,0.9911788702011108,,1.0336873531341553,,1.015838384628296,,1.002561330795288,,0.9925751686096191,,0.9955800175666809,,0.994864284992218,,0.9852860569953918,,0.9833780527114868,,,,600.0029296875,,600.0101318359375,,599.5672607421875,,599.2293090820312,,598.8654174804688,,598.7295532226562,,598.9908447265625,,599.3488159179688,,599.3700561523438,,599.548828125
1,1664.9658203125,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
